Elecció;Any;Districte;Secció;CDIS;CSEC;CUSEC;Censo;Votants;Vots;Participació;ARA PL;% ARA PL;Junts;% Junts;Cs;% Cs;CUP;% CUP;ERC;% ERC;PACMA;% PACMA;PCTC;% PCTC;PFIV;% PFIV;PP;% PP;PSC;% PSC;Comuns;% Comuns;TxT;% TxT;Valents;% Valents;VOX;% VOX;Altres;% Altres
Municipals;2023;1;12;01;012;0827901012;1143;628;618;54,94%;3;0,48%;51;8,25%;11;1,78%;16;2,59%;64;10,36%;7;1,13%;1;0,16%;2;0,32%;31;5,02%;114;18,45%;41;6,63%;211;34,14%;3;0,49%;52;8,41%;20;0.0324
Municipals;2023;1;13;01;013;0827901013;632;307;303;48,58%;0;0,00%;2;0,66%;6;1,98%;2;0,66%;21;6,93%;5;1,65%;1;0,33%;1;0,33%;16;5,28%;93;30,69%;21;6,93%;94;31,02%;0;0,00%;35;11,55%;8;0.0264
Municipals;2023;1;14;01;014;0827901014;1541;785;778;50,94%;0;0,00%;36;4,63%;14;1,80%;25;3,21%;63;8,10%;12;1,54%;3;0,39%;7;0,90%;73;9,38%;185;23,78%;40;5,14%;211;27,12%;1;0,13%;98;12,60%;21;0.0270
Municipals;2023;1;15;01;015;0827901015;950;501;498;52,74%;6;1,20%;41;8,23%;5;1,00%;11;2,21%;39;7,83%;4;0,80%;0;0,00%;2;0,40%;31;6,22%;98;19,68%;25;5,02%;186;37,35%;0;0,00%;44;8,84%;14;0.0281
Municipals;2023;1;16;01;016;0827901016;1800;995;986;55,28%;1;0,10%;132;13,39%;8;0,81%;41;4,16%;94;9,53%;13;1,32%;4;0,41%;2;0,20%;47;4,77%;186;18,86%;34;3,45%;341;34,58%;1;0,10%;71;7,20%;19;0.0193
Municipals;2023;1;17;01;017;0827901017;1666;947;926;56,84%;1;0,11%;145;15,66%;14;1,51%;70;7,56%;93;10,04%;14;1,51%;0;0,00%;6;0,65%;41;4,43%;112;12,10%;41;4,43%;341;36,83%;4;0,43%;32;3,46%;23;0.0248
Municipals;2023;1;18;01;018;0827901018;492;321;316;65,24%;0;0,00%;69;21,84%;4;1,27%;37;11,71%;45;14,24%;3;0,95%;0;0,00%;3;0,95%;9;2,85%;29;9,18%;17;5,38%;81;25,63%;0;0,00%;14;4,43%;8;0.0253
Municipals;2023;1;19;01;019;0827901019;1159;588;581;50,73%;4;0,68%;30;5,16%;6;1,03%;17;2,93%;67;11,53%;10;1,72%;1;0,17%;0;0,00%;57;9,81%;104;17,90%;33;5,68%;201;34,60%;5;0,86%;39;6,71%;17;0.0293
Municipals;2023;1;20;01;020;0827901020;1207;723;709;59,90%;0;0,00%;83;11,71%;10;1,41%;35;4,94%;56;7,90%;9;1,27%;1;0,14%;9;1,27%;36;5,08%;125;17,63%;37;5,22%;254;35,83%;11;1,55%;28;3,95%;36;0.0508
Municipals;2023;1;21;01;021;0827901021;1120;593;587;52,95%;4;0,67%;63;10,73%;13;2,21%;32;5,45%;61;10,39%;11;1,87%;0;0,00%;0;0,00%;55;9,37%;106;18,06%;20;3,41%;148;25,21%;5;0,85%;57;9,71%;21;0.0358
Municipals;2023;1;22;01;022;0827901022;1439;794;780;55,18%;0;0,00%;82;10,51%;14;1,79%;40;5,13%;76;9,74%;14;1,79%;0;0,00%;11;1,41%;43;5,51%;115;14,74%;20;2,56%;288;36,92%;1;0,13%;56;7,18%;32;0.0410
Municipals;2023;1;23;01;023;0827901023;997;606;598;60,78%;1;0,17%;68;11,37%;11;1,84%;18;3,01%;53;8,86%;13;2,17%;1;0,17%;14;2,34%;38;6,35%;107;17,89%;30;5,02%;189;31,61%;3;0,50%;46;7,69%;25;0.0418
Municipals;2023;1;24;01;024;0827901024;678;436;427;64,31%;1;0,23%;122;28,57%;3;0,70%;32;7,49%;40;9,37%;8;1,87%;0;0,00%;12;2,81%;19;4,45%;38;8,90%;20;4,68%;114;26,70%;0;0,00%;8;1,87%;23;0.0539
Municipals;2023;1;25;01;025;0827901025;1047;642;634;61,32%;2;0,31%;103;16,25%;12;1,89%;27;4,26%;52;8,20%;12;1,89%;3;0,47%;8;1,26%;38;5,99%;53;8,36%;24;3,79%;259;40,85%;1;0,16%;21;3,31%;33;0.0521
Municipals;2023;2;1;02;001;0827902001;1060;503;500;47,45%;0;0,00%;11;2,20%;12;2,40%;7;1,40%;27;5,40%;8;1,60%;2;0,40%;2;0,40%;47;9,40%;156;31,20%;11;2,20%;137;27,40%;2;0,40%;74;14,80%;10;0.0200
Municipals;2023;2;3;02;003;0827902003;964;365;363;37,86%;0;0,00%;7;1,93%;9;2,48%;1;0,28%;6;1,65%;3;0,83%;3;0,83%;1;0,28%;24;6,61%;146;40,22%;12;3,31%;84;23,14%;1;0,28%;53;14,60%;18;0.0496
Municipals;2023;2;4;02;004;0827902004;885;365;361;41,24%;1;0,27%;9;2,49%;0;0,00%;7;1,94%;11;3,05%;5;1,39%;0;0,00%;1;0,28%;27;7,48%;127;35,18%;22;6,09%;91;25,21%;3;0,83%;51;14,13%;11;0.0305
Municipals;2023;2;5;02;005;0827902005;827;408;405;49,33%;0;0,00%;5;1,23%;7;1,73%;4;0,99%;16;3,95%;6;1,48%;2;0,49%;0;0,00%;42;10,37%;124;30,62%;15;3,70%;107;26,42%;5;1,23%;63;15,56%;16;0.0395
Municipals;2023;2;6;02;006;0827902006;715;348;348;48,67%;0;0,00%;7;2,01%;6;1,72%;9;2,59%;17;4,89%;4;1,15%;0;0,00%;0;0,00%;36;10,34%;97;27,87%;18;5,17%;84;24,14%;1;0,29%;67;19,25%;3;0.0086
Municipals;2023;2;8;02;008;0827902008;773;363;357;46,96%;0;0,00%;2;0,56%;8;2,24%;6;1,68%;20;5,60%;2;0,56%;0;0,00%;1;0,28%;23;6,44%;104;29,13%;23;6,44%;101;28,29%;2;0,56%;62;17,37%;6;0.0168
Municipals;2023;2;9;02;009;0827902009;1133;542;539;47,84%;3;0,55%;12;2,23%;8;1,48%;6;1,11%;32;5,94%;8;1,48%;5;0,93%;0;0,00%;45;8,35%;155;28,76%;14;2,60%;164;30,43%;1;0,19%;84;15,58%;11;0.0204
Municipals;2023;2;11;02;011;0827902011;862;391;386;45,36%;3;0,77%;11;2,85%;9;2,33%;6;1,55%;15;3,89%;5;1,30%;2;0,52%;0;0,00%;33;8,55%;94;24,35%;11;2,85%;117;30,31%;4;1,04%;71;18,39%;14;0.0363
Municipals;2023;2;12;02;012;0827902012;681;240;239;35,24%;2;0,83%;2;0,84%;2;0,84%;6;2,51%;9;3,77%;2;0,84%;2;0,84%;0;0,00%;15;6,28%;82;34,31%;12;5,02%;57;23,85%;1;0,42%;38;15,90%;14;0.0586
Municipals;2023;2;14;02;014;0827902014;1482;654;644;44,13%;0;0,00%;18;2,80%;15;2,33%;6;0,93%;31;4,81%;14;2,17%;2;0,31%;0;0,00%;48;7,45%;144;22,36%;26;4,04%;200;31,06%;3;0,47%;127;19,72%;15;0.0233
Municipals;2023;2;15;02;015;0827902015;555;172;172;30,99%;1;0,58%;1;0,58%;2;1,16%;1;0,58%;5;2,91%;2;1,16%;3;1,74%;0;0,00%;6;3,49%;60;34,88%;5;2,91%;50;29,07%;0;0,00%;34;19,77%;6;0.0349
Municipals;2023;2;16;02;016;0827902016;1598;762;753;47,68%;0;0,00%;24;3,19%;9;1,20%;17;2,26%;39;5,18%;17;2,26%;1;0,13%;2;0,27%;35;4,65%;150;19,92%;51;6,77%;255;33,86%;1;0,13%;139;18,46%;17;0.0226
Municipals;2023;2;17;02;017;0827902017;1451;565;563;38,94%;3;0,53%;6;1,07%;10;1,78%;10;1,78%;26;4,62%;20;3,55%;0;0,00%;2;0,36%;34;6,04%;121;21,49%;33;5,86%;178;31,62%;1;0,18%;113;20,07%;12;0.0213
Municipals;2023;3;1;03;001;0827903001;1274;626;621;49,14%;0;0,00%;23;3,70%;6;0,97%;20;3,22%;63;10,14%;16;2,58%;2;0,32%;0;0,00%;52;8,37%;97;15,62%;26;4,19%;247;39,77%;1;0,16%;59;9,50%;12;0.0193
Municipals;2023;3;2;03;002;0827903002;1085;604;589;55,67%;2;0,33%;28;4,75%;6;1,02%;23;3,90%;52;8,83%;16;2,72%;2;0,34%;0;0,00%;32;5,43%;113;19,19%;26;4,41%;219;37,18%;1;0,17%;65;11,04%;9;0.0153
Municipals;2023;3;3;03;003;0827903003;1174;553;549;47,10%;1;0,18%;26;4,74%;15;2,73%;12;2,19%;33;6,01%;12;2,19%;2;0,36%;0;0,00%;44;8,01%;138;25,14%;17;3,10%;176;32,06%;2;0,36%;60;10,93%;16;0.0291
Municipals;2023;3;4;03;004;0827903004;923;373;370;40,41%;0;0,00%;7;1,89%;1;0,27%;7;1,89%;26;7,03%;4;1,08%;0;0,00%;0;0,00%;28;7,57%;83;22,43%;21;5,68%;136;36,76%;2;0,54%;53;14,32%;4;0.0108
Municipals;2023;3;5;03;005;0827903005;1780;937;926;52,64%;1;0,11%;79;8,53%;15;1,62%;36;3,89%;97;10,48%;19;2,05%;4;0,43%;5;0,54%;41;4,43%;153;16,52%;30;3,24%;375;40,50%;3;0,32%;49;5,29%;32;0.0346
Municipals;2023;3;6;03;006;0827903006;1609;861;848;53,51%;2;0,23%;93;10,97%;11;1,30%;29;3,42%;93;10,97%;11;1,30%;2;0,24%;6;0,71%;32;3,77%;97;11,44%;34;4,01%;382;45,05%;2;0,24%;40;4,72%;26;0.0307
Municipals;2023;3;7;03;007;0827903007;1677;879;869;52,42%;2;0,23%;51;5,87%;8;0,92%;42;4,83%;82;9,44%;17;1,96%;3;0,35%;1;0,12%;37;4,26%;125;14,38%;33;3,80%;367;42,23%;3;0,35%;85;9,78%;22;0.0253
Municipals;2023;3;8;03;008;0827903008;1514;737;736;48,68%;1;0,14%;8;1,09%;10;1,36%;12;1,63%;27;3,67%;8;1,09%;5;0,68%;3;0,41%;37;5,03%;199;27,04%;27;3,67%;288;39,13%;5;0,68%;99;13,45%;21;0.0285
Municipals;2023;3;14;03;014;0827903014;1122;445;438;39,66%;1;0,22%;16;3,65%;8;1,83%;13;2,97%;27;6,16%;6;1,37%;4;0,91%;0;0,00%;30;6,85%;116;26,48%;10;2,28%;142;32,42%;0;0,00%;57;13,01%;13;0.0297
Municipals;2023;3;15;03;015;0827903015;900;453;450;50,33%;0;0,00%;6;1,33%;11;2,44%;12;2,67%;24;5,33%;10;2,22%;1;0,22%;1;0,22%;44;9,78%;122;27,11%;21;4,67%;148;32,89%;0;0,00%;45;10,00%;7;0.0156
Municipals;2023;3;16;03;016;0827903016;789;338;333;42,84%;0;0,00%;1;0,30%;9;2,70%;0;0,00%;6;1,80%;4;1,20%;0;0,00%;0;0,00%;36;10,81%;91;27,33%;10;3,00%;132;39,64%;0;0,00%;44;13,21%;0;0.0000
Municipals;2023;3;17;03;017;0827903017;830;376;375;45,30%;1;0,27%;4;1,07%;10;2,67%;1;0,27%;12;3,20%;6;1,60%;2;0,53%;3;0,80%;44;11,73%;120;32,00%;15;4,00%;106;28,27%;1;0,27%;50;13,33%;7;0.0187
Municipals;2023;3;18;03;018;0827903018;768;443;438;57,68%;0;0,00%;4;0,91%;8;1,83%;1;0,23%;14;3,20%;7;1,60%;2;0,46%;1;0,23%;32;7,31%;117;26,71%;13;2,97%;169;38,58%;0;0,00%;61;13,93%;12;0.0274
Municipals;2023;3;19;03;019;0827903019;865;392;388;45,32%;0;0,00%;5;1,29%;5;1,29%;8;2,06%;16;4,12%;1;0,26%;3;0,77%;0;0,00%;38;9,79%;131;33,76%;29;7,47%;105;27,06%;0;0,00%;41;10,57%;9;0.0232
Municipals;2023;3;20;03;020;0827903020;1180;619;610;52,46%;1;0,16%;27;4,43%;12;1,97%;22;3,61%;40;6,56%;9;1,48%;2;0,33%;0;0,00%;26;4,26%;131;21,48%;33;5,41%;229;37,54%;4;0,66%;67;10,98%;14;0.0230
Municipals;2023;4;1;04;001;0827904001;1130;608;599;53,81%;0;0,00%;118;19,70%;10;1,67%;26;4,34%;58;9,68%;4;0,67%;0;0,00%;8;1,34%;49;8,18%;78;13,02%;23;3,84%;181;30,22%;1;0,17%;31;5,18%;21;0.0351
Municipals;2023;4;2;04;002;0827904002;1150;629;620;54,70%;3;0,48%;112;18,06%;5;0,81%;29;4,68%;86;13,87%;7;1,13%;2;0,32%;3;0,48%;26;4,19%;84;13,55%;24;3,87%;199;32,10%;1;0,16%;31;5,00%;17;0.0274
Municipals;2023;4;3;04;003;0827904003;1333;701;693;52,59%;2;0,29%;54;7,79%;7;1,01%;27;3,90%;78;11,26%;13;1,88%;0;0,00%;1;0,14%;53;7,65%;101;14,57%;30;4,33%;273;39,39%;3;0,43%;41;5,92%;16;0.0231
Municipals;2023;4;4;04;004;0827904004;1141;570;562;49,96%;1;0,18%;39;6,94%;4;0,71%;22;3,91%;76;13,52%;15;2,67%;0;0,00%;1;0,18%;30;5,34%;87;15,48%;15;2,67%;217;38,61%;1;0,18%;42;7,47%;15;0.0267
Municipals;2023;4;5;04;005;0827904005;1272;616;607;48,43%;0;0,00%;37;6,10%;2;0,33%;21;3,46%;48;7,91%;12;1,98%;1;0,16%;1;0,16%;28;4,61%;101;16,64%;24;3,95%;266;43,82%;1;0,16%;59;9,72%;9;0.0148
Municipals;2023;4;6;04;006;0827904006;1490;740;732;49,66%;0;0,00%;30;4,10%;4;0,55%;37;5,05%;58;7,92%;12;1,64%;3;0,41%;3;0,41%;45;6,15%;177;24,18%;36;4,92%;212;28,96%;4;0,55%;97;13,25%;24;0.0328
Municipals;2023;4;7;04;007;0827904007;1865;831;817;44,56%;2;0,24%;37;4,53%;14;1,71%;21;2,57%;64;7,83%;22;2,69%;1;0,12%;0;0,00%;41;5,02%;192;23,50%;30;3,67%;265;32,44%;4;0,49%;119;14,57%;12;0.0147
Municipals;2023;4;8;04;008;0827904008;983;396;391;40,28%;1;0,25%;12;3,07%;9;2,30%;10;2,56%;27;6,91%;5;1,28%;1;0,26%;1;0,26%;30;7,67%;77;19,69%;26;6,65%;148;37,85%;2;0,51%;35;8,95%;12;0.0307
Municipals;2023;4;9;04;009;0827904009;754;338;334;44,83%;0;0,00%;6;1,80%;4;1,20%;1;0,30%;16;4,79%;4;1,20%;1;0,30%;0;0,00%;32;9,58%;92;27,54%;16;4,79%;100;29,94%;0;0,00%;61;18,26%;2;0.0060
Municipals;2023;4;10;04;010;0827904010;717;315;315;43,93%;0;0,00%;4;1,27%;5;1,59%;7;2,22%;17;5,40%;4;1,27%;1;0,32%;3;0,95%;16;5,08%;111;35,24%;12;3,81%;71;22,54%;0;0,00%;63;20,00%;5;0.0159
Municipals;2023;4;12;04;012;0827904012;1031;541;535;52,47%;0;0,00%;33;6,17%;10;1,87%;25;4,67%;39;7,29%;13;2,43%;1;0,19%;0;0,00%;24;4,49%;89;16,64%;38;7,10%;199;37,20%;4;0,75%;55;10,28%;10;0.0187
Municipals;2023;4;13;04;013;0827904013;1234;688;681;55,75%;1;0,15%;75;11,01%;5;0,73%;24;3,52%;81;11,89%;10;1,47%;2;0,29%;3;0,44%;29;4,26%;120;17,62%;30;4,41%;252;37,00%;0;0,00%;37;5,43%;18;0.0264
Municipals;2023;4;14;04;014;0827904014;1024;612;600;59,77%;0;0,00%;127;21,17%;7;1,17%;34;5,67%;69;11,50%;5;0,83%;3;0,50%;14;2,33%;32;5,33%;69;11,50%;15;2,50%;193;32,17%;2;0,33%;17;2,83%;32;0.0533
Municipals;2023;4;15;04;015;0827904015;898;509;502;56,68%;1;0,20%;97;19,32%;5;1,00%;39;7,77%;65;12,95%;8;1,59%;1;0,20%;8;1,59%;32;6,37%;57;11,35%;15;2,99%;141;28,09%;6;1,20%;19;3,78%;24;0.0478
Municipals;2023;4;16;04;016;0827904016;974;557;549;57,19%;0;0,00%;120;21,86%;3;0,55%;34;6,19%;39;7,10%;5;0,91%;3;0,55%;5;0,91%;28;5,10%;65;11,84%;15;2,73%;198;36,07%;0;0,00%;22;4,01%;20;0.0364
Municipals;2023;4;17;04;017;0827904017;1253;776;765;61,93%;4;0,52%;115;15,03%;9;1,18%;34;4,44%;81;10,59%;8;1,05%;2;0,26%;5;0,65%;40;5,23%;101;13,20%;33;4,31%;278;36,34%;2;0,26%;47;6,14%;19;0.0248
Municipals;2023;4;18;04;018;0827904018;1934;1078;1066;55,74%;4;0,37%;110;10,32%;14;1,31%;64;6,00%;90;8,44%;20;1,88%;1;0,09%;3;0,28%;56;5,25%;186;17,45%;43;4,03%;383;35,93%;7;0,66%;74;6,94%;26;0.0244
Municipals;2023;4;19;04;019;0827904019;897;433;432;48,27%;1;0,23%;12;2,78%;1;0,23%;9;2,08%;40;9,26%;5;1,16%;0;0,00%;0;0,00%;41;9,49%;87;20,14%;27;6,25%;152;35,19%;1;0,23%;51;11,81%;7;0.0162
Municipals;2023;4;20;04;020;0827904020;532;215;215;40,41%;1;0,47%;3;1,40%;3;1,40%;3;1,40%;16;7,44%;8;3,72%;1;0,47%;1;0,47%;19;8,84%;62;28,84%;6;2,79%;58;26,98%;3;1,40%;30;13,95%;7;0.0326
Municipals;2023;4;21;04;021;0827904021;785;381;373;48,54%;2;0,52%;5;1,34%;4;1,07%;10;2,68%;30;8,04%;7;1,88%;1;0,27%;0;0,00%;18;4,83%;117;31,37%;19;5,09%;111;29,76%;2;0,54%;45;12,06%;7;0.0188
Municipals;2023;4;22;04;022;0827904022;1724;867;860;50,29%;0;0,00%;17;1,98%;15;1,74%;11;1,28%;53;6,16%;7;0,81%;4;0,47%;6;0,70%;53;6,16%;176;20,47%;46;5,35%;327;38,02%;1;0,12%;125;14,53%;30;0.0349
Municipals;2023;4;23;04;023;0827904023;1715;893;883;52,07%;1;0,11%;23;2,60%;18;2,04%;17;1,93%;63;7,13%;16;1,81%;2;0,23%;2;0,23%;43;4,87%;157;17,78%;39;4,42%;375;42,47%;1;0,11%;114;12,91%;18;0.0204
Municipals;2023;4;24;04;024;0827904024;1845;883;879;47,86%;0;0,00%;16;1,82%;15;1,71%;17;1,93%;42;4,78%;13;1,48%;1;0,11%;0;0,00%;76;8,65%;175;19,91%;39;4,44%;323;36,75%;2;0,23%;144;16,38%;19;0.0216
Municipals;2023;4;25;04;025;0827904025;882;440;437;49,89%;0;0,00%;15;3,43%;5;1,14%;15;3,43%;36;8,24%;3;0,69%;3;0,69%;2;0,46%;37;8,47%;105;24,03%;20;4,58%;147;33,64%;1;0,23%;43;9,84%;11;0.0252
Municipals;2023;4;26;04;026;0827904026;1135;618;605;54,45%;1;0,16%;108;17,85%;7;1,16%;32;5,29%;49;8,10%;7;1,16%;0;0,00%;4;0,66%;40;6,61%;82;13,55%;42;6,94%;201;33,22%;2;0,33%;25;4,13%;12;0.0198
Municipals;2023;5;1;05;001;0827905001;1544;814;810;52,72%;1;0,12%;52;6,42%;26;3,21%;30;3,70%;56;6,91%;10;1,23%;0;0,00%;5;0,62%;52;6,42%;162;20,00%;28;3,46%;278;34,32%;5;0,62%;86;10,62%;30;0.0370
Municipals;2023;5;2;05;002;0827905002;1092;579;577;53,02%;1;0,17%;5;0,87%;4;0,69%;12;2,08%;22;3,81%;9;1,56%;2;0,35%;3;0,52%;56;9,71%;158;27,38%;23;3,99%;193;33,45%;0;0,00%;86;14,90%;9;0.0156
Municipals;2023;5;3;05;003;0827905003;1516;806;792;53,17%;0;0,00%;54;6,82%;17;2,15%;41;5,18%;71;8,96%;9;1,14%;5;0,63%;2;0,25%;43;5,43%;125;15,78%;49;6,19%;310;39,14%;1;0,13%;48;6,06%;25;0.0316
Municipals;2023;5;4;05;004;0827905004;1268;708;699;55,84%;3;0,42%;59;8,44%;17;2,43%;45;6,44%;69;9,87%;7;1,00%;2;0,29%;0;0,00%;32;4,58%;132;18,88%;27;3,86%;248;35,48%;1;0,14%;42;6,01%;21;0.0300
Municipals;2023;5;5;05;005;0827905005;763;409;406;53,60%;0;0,00%;33;8,13%;3;0,74%;27;6,65%;50;12,32%;3;0,74%;3;0,74%;6;1,48%;15;3,69%;79;19,46%;29;7,14%;133;32,76%;2;0,49%;20;4,93%;14;0.0345
Municipals;2023;5;6;05;006;0827905006;1560;859;854;55,06%;0;0,00%;86;10,07%;18;2,11%;33;3,86%;84;9,84%;14;1,64%;2;0,23%;6;0,70%;48;5,62%;129;15,11%;52;6,09%;307;35,95%;2;0,23%;65;7,61%;18;0.0211
Municipals;2023;5;7;05;007;0827905007;882;524;521;59,41%;2;0,38%;61;11,71%;9;1,73%;44;8,45%;60;11,52%;3;0,58%;0;0,00%;0;0,00%;26;4,99%;81;15,55%;22;4,22%;176;33,78%;2;0,38%;24;4,61%;15;0.0288
Municipals;2023;5;8;05;008;0827905008;1447;818;811;56,53%;1;0,12%;103;12,70%;13;1,60%;36;4,44%;79;9,74%;9;1,11%;0;0,00%;1;0,12%;49;6,04%;143;17,63%;32;3,95%;291;35,88%;1;0,12%;40;4,93%;16;0.0197
Municipals;2023;5;9;05;009;0827905009;1347;767;760;56,94%;1;0,13%;43;5,66%;17;2,24%;32;4,21%;58;7,63%;6;0,79%;5;0,66%;1;0,13%;65;8,55%;199;26,18%;35;4,61%;229;30,13%;1;0,13%;59;7,76%;17;0.0224
Municipals;2023;5;10;05;010;0827905010;971;474;472;48,82%;0;0,00%;13;2,75%;9;1,91%;7;1,48%;11;2,33%;12;2,54%;2;0,42%;9;1,91%;40;8,47%;154;32,63%;24;5,08%;135;28,60%;2;0,42%;46;9,75%;21;0.0445
Municipals;2023;5;11;05;011;0827905011;1395;728;719;52,19%;1;0,14%;64;8,90%;8;1,11%;24;3,34%;65;9,04%;7;0,97%;3;0,42%;1;0,14%;51;7,09%;138;19,19%;43;5,98%;251;34,91%;0;0,00%;55;7,65%;13;0.0181
Municipals;2023;5;12;05;012;0827905012;590;285;281;48,31%;0;0,00%;16;5,69%;2;0,71%;10;3,56%;36;12,81%;3;1,07%;0;0,00%;2;0,71%;14;4,98%;60;21,35%;13;4,63%;96;34,16%;0;0,00%;27;9,61%;4;0.0142
Municipals;2023;5;13;05;013;0827905013;1318;608;603;46,13%;1;0,16%;15;2,49%;15;2,49%;13;2,16%;29;4,81%;14;2,32%;0;0,00%;2;0,33%;39;6,47%;150;24,88%;21;3,48%;187;31,01%;2;0,33%;102;16,92%;18;0.0299
Municipals;2023;5;14;05;014;0827905014;1418;771;767;54,37%;2;0,26%;27;3,52%;6;0,78%;18;2,35%;52;6,78%;10;1,30%;1;0,13%;4;0,52%;53;6,91%;237;30,90%;52;6,78%;215;28,03%;2;0,26%;76;9,91%;21;0.0274
Municipals;2023;5;15;05;015;0827905015;708;312;309;44,07%;0;0,00%;4;1,29%;5;1,62%;5;1,62%;26;8,41%;8;2,59%;1;0,32%;0;0,00%;15;4,85%;57;18,45%;14;4,53%;129;41,75%;3;0,97%;41;13,27%;5;0.0162
Municipals;2023;5;16;05;016;0827905016;1969;913;905;46,37%;3;0,33%;30;3,31%;20;2,21%;22;2,43%;51;5,64%;13;1,44%;4;0,44%;4;0,44%;64;7,07%;215;23,76%;41;4,53%;307;33,92%;11;1,22%;106;11,71%;36;0.0398
Municipals;2023;5;17;05;017;0827905017;1481;766;766;51,72%;0;0,00%;32;4,18%;18;2,35%;20;2,61%;56;7,31%;8;1,04%;3;0,39%;0;0,00%;48;6,27%;144;18,80%;54;7,05%;291;37,99%;2;0,26%;70;9,14%;25;0.0326
Municipals;2023;5;18;05;018;0827905018;975;538;537;55,18%;0;0,00%;6;1,12%;7;1,30%;10;1,86%;14;2,61%;9;1,68%;1;0,19%;5;0,93%;55;10,24%;147;27,37%;17;3,17%;221;41,15%;2;0,37%;38;7,08%;13;0.0242
Municipals;2023;5;19;05;019;0827905019;1000;507;505;50,70%;0;0,00%;29;5,74%;5;0,99%;27;5,35%;43;8,51%;7;1,39%;2;0,40%;2;0,40%;34;6,73%;92;18,22%;22;4,36%;198;39,21%;2;0,40%;38;7,52%;10;0.0198
Municipals;2023;5;20;05;020;0827905020;967;500;492;51,71%;1;0,20%;37;7,52%;7;1,42%;10;2,03%;48;9,76%;5;1,02%;1;0,20%;6;1,22%;35;7,11%;95;19,31%;32;6,50%;177;35,98%;1;0,20%;29;5,89%;17;0.0346
Municipals;2023;5;21;05;021;0827905021;606;344;342;56,77%;0;0,00%;29;8,48%;10;2,92%;10;2,92%;28;8,19%;11;3,22%;1;0,29%;1;0,29%;26;7,60%;79;23,10%;12;3,51%;110;32,16%;1;0,29%;19;5,56%;8;0.0234
