Elecció;Any;Districte;Secció;Cens;Votants;Participació;Abstenció;VOTS_CANDIDATURES;VOTS_VALIDS;PSC;% PSC ;ERC;% ERC;Junts;% Junts;VOX;% VOX;ECP;% ECP;CUP;% CUP;Cs;% Cs;PP;%  PP;Altres;% Altres;PdeCat;% PdeCat
Parlament;2021;4;12;1037;579;55.83%;458;568;573;152;26.53%;125;21.82%;95;16.58%;50;8.73%;46;8.03%;40;6.98%;34;5.93%;8;1.40%;18;3.17%;9;1.57%
Parlament;2021;4;13;1209;680;56.24%;529;671;675;113;16.74%;186;27.56%;163;24.15%;32;4.74%;55;8.15%;45;6.67%;23;3.41%;17;2.52%;37;5.51%;23;3.41%
Parlament;2021;4;14;1013;718;70.88%;295;702;708;94;13.28%;157;22.18%;235;33.19%;30;4.24%;33;4.66%;63;8.90%;19;2.68%;23;3.25%;48;6.84%;40;5.65%
Parlament;2021;4;15;847;576;68.00%;271;572;573;63;10.99%;131;22.86%;210;36.65%;17;2.97%;18;3.14%;52;9.08%;24;4.19%;27;4.71%;30;5.24%;28;4.89%
Parlament;2021;4;16;985;645;65.48%;340;638;642;88;13.71%;133;20.72%;209;32.55%;27;4.21%;34;5.30%;64;9.97%;13;2.02%;24;3.74%;46;7.21%;36;5.61%
Parlament;2021;4;17;1173;789;67.26%;384;772;780;123;15.77%;195;25.00%;223;28.59%;46;5.90%;38;4.87%;59;7.56%;31;3.97%;22;2.82%;35;4.53%;22;2.82%
Parlament;2021;4;18;1945;1089;55.99%;856;1067;1079;211;19.56%;265;24.56%;219;20.30%;73;6.77%;76;7.04%;101;9.36%;54;5.00%;38;3.52%;30;2.81%;14;1.30%
Parlament;2021;4;19;917;435;47.44%;482;427;431;121;28.07%;87;20.19%;55;12.76%;48;11.14%;39;9.05%;32;7.42%;19;4.41%;19;4.41%;7;1.64%;3;0.70%
Parlament;2021;4;20;538;212;39.41%;326;207;209;97;46.41%;33;15.79%;7;3.35%;22;10.53%;13;6.22%;3;1.44%;16;7.66%;10;4.78%;6;2.90%;0;0.00%
Parlament;2021;4;21;803;350;43.59%;453;347;350;151;43.14%;58;16.57%;16;4.57%;33;9.43%;31;8.86%;11;3.14%;26;7.43%;12;3.43%;9;2.59%;3;0.86%
Parlament;2021;4;22;1714;821;47.90%;893;796;803;239;29.76%;155;19.30%;58;7.22%;106;13.20%;88;10.96%;28;3.49%;73;9.09%;26;3.24%;23;2.89%;9;1.12%
Parlament;2021;4;23;1696;899;53.01%;797;861;876;279;31.85%;181;20.66%;55;6.28%;106;12.10%;83;9.47%;28;3.20%;82;9.36%;25;2.85%;22;2.56%;8;0.91%
Parlament;2021;4;24;1667;822;49.31%;845;793;815;248;30.43%;133;16.32%;63;7.73%;120;14.72%;85;10.43%;31;3.80%;69;8.47%;27;3.31%;17;2.14%;2;0.25%
Parlament;2021;4;25;870;424;48.74%;446;410;415;114;27.47%;77;18.55%;64;15.42%;36;8.67%;40;9.64%;23;5.54%;29;6.99%;13;3.13%;14;3.41%;8;1.93%
Parlament;2021;4;26;1090;679;62.29%;411;665;670;106;15.82%;164;24.48%;224;33.43%;21;3.13%;33;4.93%;45;6.72%;24;3.58%;16;2.39%;32;4.81%;27;4.03%
Parlament;2021;5;1;1533;854;55.71%;679;835;844;201;23.82%;185;21.92%;123;14.57%;94;11.14%;65;7.70%;35;4.15%;59;6.99%;48;5.69%;25;2.99%;13;1.54%
Parlament;2021;5;2;1120;506;45.18%;614;494;501;168;33.53%;84;16.77%;37;7.39%;74;14.77%;42;8.38%;20;3.99%;39;7.78%;19;3.79%;11;2.23%;0;0.00%
Parlament;2021;5;3;1478;778;52.64%;700;762;767;162;21.12%;214;27.90%;151;19.69%;42;5.48%;47;6.13%;50;6.52%;45;5.87%;22;2.87%;29;3.81%;22;2.87%
Parlament;2021;5;4;1205;700;58.09%;505;685;691;159;23.01%;172;24.89%;149;21.56%;29;4.20%;43;6.22%;44;6.37%;31;4.49%;29;4.20%;29;4.23%;17;2.46%
Parlament;2021;5;5;743;399;53.70%;344;393;395;84;21.27%;121;30.63%;83;21.01%;17;4.30%;29;7.34%;25;6.33%;14;3.54%;4;1.01%;16;4.07%;10;2.53%
Parlament;2021;5;6;1570;908;57.83%;662;889;897;153;17.06%;249;27.76%;192;21.40%;59;6.58%;58;6.47%;61;6.80%;47;5.24%;34;3.79%;36;4.05%;24;2.68%
Parlament;2021;5;7;861;579;67.25%;282;572;575;112;19.48%;134;23.30%;138;24.00%;29;5.04%;36;6.26%;58;10.09%;34;5.91%;8;1.39%;23;4.02%;20;3.48%
Parlament;2021;5;8;1400;849;60.64%;551;824;837;172;20.55%;209;24.97%;220;26.28%;35;4.18%;53;6.33%;53;6.33%;46;5.50%;15;1.79%;21;2.55%;18;2.15%
Parlament;2021;5;9;1349;829;61.45%;520;817;821;242;29.48%;192;23.39%;134;16.32%;49;5.97%;65;7.92%;37;4.51%;41;4.99%;28;3.41%;29;3.55%;14;1.71%
Parlament;2021;5;10;1411;540;38.27%;871;524;535;203;37.94%;82;15.33%;38;7.10%;51;9.53%;51;9.53%;15;2.80%;44;8.22%;25;4.67%;15;2.86%;4;0.75%
Parlament;2021;5;11;1430;784;54.83%;646;764;770;204;26.49%;175;22.73%;133;17.27%;54;7.01%;66;8.57%;27;3.51%;58;7.53%;25;3.25%;22;2.88%;11;1.43%
Parlament;2021;5;12;587;293;49.91%;294;280;282;78;27.66%;76;26.95%;39;13.83%;29;10.28%;18;6.38%;11;3.90%;16;5.67%;6;2.13%;7;2.50%;3;1.06%
Parlament;2021;5;13;1196;493;41.22%;703;479;489;158;32.31%;100;20.45%;34;6.95%;74;15.13%;38;7.77%;16;3.27%;33;6.75%;19;3.89%;7;1.46%;3;0.61%
Parlament;2021;5;14;1595;801;50.22%;794;787;791;274;34.64%;152;19.22%;58;7.33%;90;11.38%;72;9.10%;25;3.16%;63;7.96%;37;4.68%;16;2.03%;8;1.01%
Parlament;2021;5;15;1500;625;41.67%;875;609;614;200;32.57%;127;20.68%;46;7.49%;84;13.68%;44;7.17%;26;4.23%;43;7.00%;18;2.93%;21;3.45%;9;1.47%
Parlament;2021;5;16;1929;826;42.82%;1103;807;816;248;30.39%;173;21.20%;73;8.95%;81;9.93%;69;8.46%;34;4.17%;66;8.09%;32;3.92%;31;3.84%;15;1.84%
Parlament;2021;5;17;1357;724;53.35%;633;713;720;245;34.03%;144;20.00%;90;12.50%;61;8.47%;64;8.89%;27;3.75%;44;6.11%;13;1.81%;25;3.51%;15;2.08%
Parlament;2021;5;18;1006;526;52.29%;480;517;520;157;30.19%;88;16.92%;34;6.54%;77;14.81%;58;11.15%;20;3.85%;40;7.69%;21;4.04%;22;4.26%;7;1.35%
Parlament;2021;5;19;984;501;50.91%;483;484;491;116;23.63%;112;22.81%;75;15.27%;45;9.16%;39;7.94%;38;7.74%;33;6.72%;10;2.04%;16;3.31%;7;1.43%
Parlament;2021;5;20;1155;652;56.45%;503;633;638;121;18.97%;169;26.49%;129;20.22%;41;6.43%;70;10.97%;42;6.58%;33;5.17%;17;2.66%;11;1.74%;6;0.94%
Parlament;2021;5;21;1361;741;54.45%;620;722;727;203;27.92%;159;21.87%;89;12.24%;65;8.94%;64;8.80%;37;5.09%;51;7.02%;31;4.26%;23;3.19%;9;1.24%
Parlament;2021;5;22;582;270;46.39%;312;269;269;78;29.00%;50;18.59%;31;11.52%;20;7.43%;38;14.13%;8;2.97%;19;7.06%;11;4.09%;14;5.20%;8;2.97%
Parlament;2021;5;23;1330;837;62.93%;493;820;828;146;17.63%;237;28.62%;178;21.50%;49;5.92%;57;6.88%;66;7.97%;45;5.43%;16;1.93%;26;3.17%;22;2.66%
Parlament;2021;5;24;1163;655;56.32%;508;632;641;200;31.20%;159;24.80%;89;13.88%;55;8.58%;51;7.96%;19;2.96%;36;5.62%;16;2.50%;7;1.11%;3;0.47%
Parlament;2021;5;25;925;472;51.03%;453;461;464;151;32.54%;102;21.98%;58;12.50%;36;7.76%;33;7.11%;16;3.45%;43;9.27%;11;2.37%;11;2.39%;6;1.29%
Parlament;2021;5;26;1007;608;60.38%;399;593;604;113;18.71%;153;25.33%;133;22.02%;42;6.95%;40;6.62%;36;5.96%;27;4.47%;18;2.98%;31;5.23%;19;3.15%
Parlament;2021;5;27;944;565;59.85%;379;550;556;108;19.42%;138;24.82%;123;22.12%;28;5.04%;36;6.47%;43;7.73%;44;7.91%;12;2.16%;18;3.27%;9;1.62%
Parlament;2021;5;28;904;531;58.74%;373;523;524;190;36.26%;90;17.18%;54;10.31%;63;12.02%;38;7.25%;15;2.86%;44;8.40%;15;2.86%;14;2.68%;4;0.76%
Parlament;2021;5;29;967;543;56.15%;424;532;538;134;24.91%;134;24.91%;60;11.15%;48;8.92%;48;8.92%;28;5.20%;42;7.81%;18;3.35%;20;3.76%;5;0.93%
Parlament;2021;6;1;896;394;43.97%;502;387;393;152;38.68%;60;15.27%;33;8.40%;48;12.21%;36;9.16%;10;2.54%;32;8.14%;11;2.80%;5;1.29%;3;0.76%
Parlament;2021;6;2;1204;511;42.44%;693;502;504;150;29.76%;109;21.63%;50;9.92%;58;11.51%;50;9.92%;19;3.77%;48;9.52%;5;0.99%;13;2.59%;3;0.60%
Parlament;2021;6;3;1491;621;41.65%;870;606;614;212;34.53%;106;17.26%;42;6.84%;83;13.52%;60;9.77%;27;4.40%;44;7.17%;23;3.75%;9;1.49%;4;0.65%
Parlament;2021;6;4;864;346;40.05%;518;337;341;94;27.57%;59;17.30%;33;9.68%;47;13.78%;24;7.04%;27;7.92%;30;8.80%;14;4.11%;9;2.67%;7;2.05%
Parlament;2021;6;5;1115;477;42.78%;638;465;470;132;28.09%;106;22.55%;43;9.15%;56;11.91%;45;9.57%;23;4.89%;40;8.51%;10;2.13%;10;2.15%;3;0.64%
Parlament;2021;6;6;1173;533;45.44%;640;514;528;168;31.82%;73;13.83%;26;4.92%;100;18.94%;42;7.95%;12;2.27%;54;10.23%;26;4.92%;13;2.53%;6;1.14%
Parlament;2021;6;8;1654;845;51.09%;809;822;829;188;22.68%;191;23.04%;135;16.28%;60;7.24%;67;8.08%;76;9.17%;59;7.12%;22;2.65%;24;2.92%;12;1.45%
Parlament;2021;6;9;919;387;42.11%;532;379;379;120;31.66%;72;19.00%;28;7.39%;50;13.19%;44;11.61%;13;3.43%;27;7.12%;14;3.69%;11;2.90%;6;1.58%
Parlament;2021;6;10;1620;712;43.95%;908;694;702;221;31.48%;127;18.09%;45;6.41%;71;10.11%;65;9.26%;38;5.41%;87;12.39%;30;4.27%;10;1.44%;7;1.00%
Parlament;2021;6;11;1249;522;41.79%;727;506;512;169;33.01%;97;18.95%;31;6.05%;72;14.06%;49;9.57%;20;3.91%;48;9.38%;15;2.93%;5;0.99%;0;0.00%
Parlament;2021;6;12;927;417;44.98%;510;415;416;149;35.82%;87;20.91%;35;8.41%;47;11.30%;38;9.13%;13;3.13%;20;4.81%;15;3.61%;11;2.65%;8;1.92%
Parlament;2021;6;13;694;306;44.09%;388;303;304;131;43.09%;39;12.83%;7;2.30%;38;12.50%;29;9.54%;9;2.96%;30;9.87%;15;4.93%;5;1.65%;0;0.00%
Parlament;2021;6;14;702;225;32.05%;477;223;224;85;37.95%;32;14.29%;19;8.48%;27;12.05%;20;8.93%;10;4.46%;15;6.70%;9;4.02%;6;2.69%;3;1.34%
Parlament;2021;6;16;1121;470;41.93%;651;460;464;140;30.17%;79;17.03%;58;12.50%;44;9.48%;47;10.13%;27;5.82%;39;8.41%;16;3.45%;10;2.17%;5;1.08%
Parlament;2021;6;18;891;336;37.71%;555;333;334;131;39.22%;47;14.07%;17;5.09%;65;19.46%;28;8.38%;0;0.00%;26;7.78%;12;3.59%;7;2.10%;0;0.00%
Parlament;2021;6;20;1111;382;34.38%;729;375;377;141;37.40%;40;10.61%;18;4.77%;71;18.83%;30;7.96%;11;2.92%;38;10.08%;16;4.24%;10;2.67%;2;0.53%
Parlament;2021;6;23;998;427;42.79%;571;408;417;154;36.93%;53;12.71%;28;6.71%;63;15.11%;26;6.24%;7;1.68%;44;10.55%;25;6.00%;8;1.96%;3;0.72%
Parlament;2021;6;24;1780;775;43.54%;1005;758;767;281;36.64%;124;16.17%;37;4.82%;112;14.60%;64;8.34%;21;2.74%;76;9.91%;32;4.17%;11;1.45%;4;0.52%
Parlament;2021;6;25;1448;567;39.16%;881;552;560;198;35.36%;95;16.96%;29;5.18%;78;13.93%;53;9.46%;24;4.29%;37;6.61%;23;4.11%;15;2.72%;7;1.25%
Parlament;2021;6;26;1185;490;41.35%;695;481;485;163;33.61%;84;17.32%;18;3.71%;75;15.46%;47;9.69%;14;2.89%;51;10.52%;20;4.12%;9;1.87%;2;0.41%
Parlament;2021;6;27;969;331;34.16%;638;325;327;149;45.57%;37;11.31%;15;4.59%;46;14.07%;20;6.12%;7;2.14%;32;9.79%;13;3.98%;6;1.85%;2;0.61%
Parlament;2021;6;28;1207;570;47.22%;637;560;566;218;38.52%;86;15.19%;22;3.89%;68;12.01%;55;9.72%;26;4.59%;52;9.19%;19;3.36%;14;2.50%;4;0.71%
Parlament;2021;6;29;809;324;40.05%;485;303;312;103;33.01%;42;13.46%;13;4.17%;60;19.23%;31;9.94%;3;0.96%;32;10.26%;8;2.56%;11;3.63%;1;0.32%
Parlament;2021;6;30;556;235;42.27%;321;232;235;81;34.47%;38;16.17%;17;7.23%;33;14.04%;26;11.06%;11;4.68%;18;7.66%;7;2.98%;1;0.43%;1;0.43%
Parlament;2021;6;31;746;291;39.01%;455;284;287;96;33.45%;47;16.38%;12;4.18%;34;11.85%;35;12.20%;15;5.23%;38;13.24%;4;1.39%;3;1.06%;1;0.35%
Parlament;2021;6;32;603;217;35.99%;386;212;214;76;35.51%;27;12.62%;13;6.07%;45;21.03%;20;9.35%;2;0.93%;20;9.35%;6;2.80%;3;1.42%;0;0.00%
Parlament;2021;6;33;1037;523;50.43%;514;512;515;151;29.32%;114;22.14%;41;7.96%;63;12.23%;46;8.93%;7;1.36%;52;10.10%;19;3.69%;19;3.71%;9;1.75%
Parlament;2021;7;1;2050;1136;55.41%;914;1109;1121;269;24.00%;254;22.66%;158;14.09%;103;9.19%;103;9.19%;63;5.62%;93;8.30%;28;2.50%;38;3.43%;21;1.87%
Parlament;2021;7;2;1509;591;39.17%;918;580;583;273;46.83%;58;9.95%;13;2.23%;86;14.75%;65;11.15%;10;1.72%;49;8.40%;20;3.43%;6;1.03%;1;0.17%
Parlament;2021;7;3;1130;340;30.09%;790;327;338;128;37.87%;41;12.13%;14;4.14%;74;21.89%;16;4.73%;4;1.18%;40;11.83%;7;2.07%;3;0.92%;0;0.00%
Parlament;2021;7;4;1850;863;46.65%;987;857;860;294;34.19%;127;14.77%;47;5.47%;138;16.05%;52;6.05%;33;3.84%;98;11.40%;55;6.40%;13;1.52%;4;0.47%
