Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;PxC;% PxC;En Blanco;% En Blanco;PRIMARIES;% PRIMARIES;TxT;% TxT;VOX;% VOX;Podem;% Podem;PACMA;% PACMA;Altres;% Altres
Municipals;2007;1;22;0827901022;1265;582;17;0;565;47,35%;154;25,71%;176;29,38%;66;11,02%;62;10,35%;51;8,51%;24;4,01%;;;;;;;;;;;;;;;;;32;0.0566
Municipals;2007;1;23;0827901023;866;431;19;0;412;51,96%;151;33,56%;116;25,78%;46;10,22%;35;7,78%;32;7,11%;24;5,33%;;;;;;;;;;;;;;;;;8;0.0194
Municipals;2007;2;1;0827902001;1092;512;13;0;499;48,08%;274;52,19%;54;10,29%;27;5,14%;73;13,90%;44;8,38%;16;3,05%;;;;;;;;;;;;;;;;;11;0.0220
Municipals;2007;2;2;0827902002;559;250;6;2;242;45,80%;131;51,17%;29;11,33%;2;0,78%;50;19,53%;26;10,16%;1;0,39%;;;;;;;;;;;;;;;;;3;0.0124
Municipals;2007;2;3;0827902003;565;253;4;2;247;45,49%;142;55,25%;31;12,06%;6;2,33%;35;13,62%;17;6,61%;10;3,89%;;;;;;;;;;;;;;;;;6;0.0243
Municipals;2007;2;4;0827902004;801;376;5;2;369;47,57%;218;57,22%;45;11,81%;6;1,57%;42;11,02%;39;10,24%;14;3,67%;;;;;;;;;;;;;;;;;5;0.0136
Municipals;2007;2;5;0827902005;824;390;7;3;380;48,18%;192;48,36%;64;16,12%;13;3,27%;54;13,60%;45;11,34%;9;2,27%;;;;;;;;;;;;;;;;;3;0.0079
Municipals;2007;2;6;0827902006;671;333;9;3;321;50,97%;163;47,66%;39;11,40%;18;5,26%;47;13,74%;41;11,99%;8;2,34%;;;;;;;;;;;;;;;;;5;0.0156
Municipals;2007;2;7;0827902007;336;140;2;1;137;42,26%;56;39,44%;29;20,42%;5;3,52%;23;16,20%;13;9,15%;7;4,93%;;;;;;;;;;;;;;;;;4;0.0292
Municipals;2007;2;8;0827902008;726;298;8;1;289;42,15%;158;51,63%;36;11,76%;14;4,58%;40;13,07%;31;10,13%;6;1,96%;;;;;;;;;;;;;;;;;4;0.0138
Municipals;2007;2;9;0827902009;621;288;10;3;275;47,99%;167;56,04%;24;8,05%;11;3,69%;33;11,07%;31;10,40%;9;3,02%;;;;;;;;;;;;;;;;;0;0.0000
Municipals;2007;2;10;0827902010;451;212;6;1;205;48,34%;132;60,55%;17;7,80%;6;2,75%;23;10,55%;17;7,80%;8;3,67%;;;;;;;;;;;;;;;;;2;0.0098
Municipals;2007;2;11;0827902011;790;316;2;4;310;40,25%;150;47,17%;36;11,32%;13;4,09%;40;12,58%;47;14,78%;23;7,23%;;;;;;;;;;;;;;;;;1;0.0032
Municipals;2007;2;12;0827902012;712;324;11;3;310;47,05%;194;57,91%;38;11,34%;11;3,28%;29;8,66%;20;5,97%;13;3,88%;;;;;;;;;;;;;;;;;5;0.0161
Municipals;2007;2;14;0827902014;1739;617;21;0;596;36,69%;347;54,39%;62;9,72%;19;2,98%;58;9,09%;63;9,87%;38;5,96%;;;;;;;;;;;;;;;;;9;0.0151
Municipals;2007;2;15;0827902015;652;224;1;1;222;34,51%;87;38,67%;97;43,11%;4;1,78%;5;2,22%;18;8,00%;8;3,56%;;;;;;;;;;;;;;;;;3;0.0135
Municipals;2007;2;16;0827902016;943;345;12;1;332;37,86%;177;49,58%;18;5,04%;28;7,84%;21;5,88%;59;16,53%;22;6,16%;;;;;;;;;;;;;;;;;7;0.0211
Municipals;2007;3;1;0827903001;1315;582;8;2;572;44,87%;274;46,44%;106;17,97%;53;8,98%;39;6,61%;63;10,68%;24;4,07%;;;;;;;;;;;;;;;;;13;0.0227
Municipals;2007;3;2;0827903002;1014;471;26;0;445;49,01%;188;37,83%;91;18,31%;42;8,45%;46;9,26%;49;9,86%;21;4,23%;;;;;;;;;;;;;;;;;8;0.0180
Municipals;2007;3;3;0827903003;1175;438;7;3;428;37,87%;217;48,76%;62;13,93%;29;6,52%;38;8,54%;53;11,91%;26;5,84%;;;;;;;;;;;;;;;;;3;0.0070
Municipals;2007;3;4;0827903004;890;333;15;1;317;39,10%;174;50,00%;34;9,77%;7;2,01%;47;13,51%;39;11,21%;10;2,87%;;;;;;;;;;;;;;;;;6;0.0189
Municipals;2007;3;5;0827903005;1248;568;30;2;536;47,92%;214;35,79%;142;23,75%;68;11,37%;36;6,02%;49;8,19%;17;2,84%;;;;;;;;;;;;;;;;;10;0.0187
Municipals;2007;3;6;0827903006;1246;605;30;1;574;50,96%;226;35,59%;163;25,67%;68;10,71%;38;5,98%;50;7,87%;15;2,36%;;;;;;;;;;;;;;;;;14;0.0244
Municipals;2007;3;7;0827903007;1353;621;27;1;593;47,89%;206;31,79%;161;24,85%;60;9,26%;40;6,17%;77;11,88%;27;4,17%;;;;;;;;;;;;;;;;;22;0.0371
Municipals;2007;3;8;0827903008;1243;542;5;2;535;44,01%;368;67,28%;32;5,85%;12;2,19%;55;10,05%;47;8,59%;18;3,29%;;;;;;;;;;;;;;;;;3;0.0056
Municipals;2007;3;9;0827903009;1505;686;28;3;655;47,44%;261;36,55%;126;17,65%;56;7,84%;78;10,92%;87;12,18%;34;4,76%;;;;;;;;;;;;;;;;;13;0.0198
Municipals;2007;3;10;0827903010;1633;571;1;3;567;35,03%;331;57,87%;34;5,94%;15;2,62%;57;9,97%;88;15,38%;35;6,12%;;;;;;;;;;;;;;;;;7;0.0123
Municipals;2007;3;11;0827903011;1179;330;5;0;325;28,41%;200;59,70%;25;7,46%;11;3,28%;40;11,94%;33;9,85%;14;4,18%;;;;;;;;;;;;;;;;;2;0.0062
Municipals;2007;3;12;0827903012;1647;688;9;7;672;42,32%;295;42,32%;127;18,22%;17;2,44%;107;15,35%;68;9,76%;57;8,18%;;;;;;;;;;;;;;;;;1;0.0015
Municipals;2007;3;13;0827903013;453;195;7;2;186;44,59%;126;62,38%;13;6,44%;9;4,46%;18;8,91%;13;6,44%;6;2,97%;;;;;;;;;;;;;;;;;1;0.0054
Municipals;2007;3;14;0827903014;1166;441;10;12;419;38,68%;209;46,34%;56;12,42%;25;5,54%;69;15,30%;38;8,43%;11;2,44%;;;;;;;;;;;;;;;;;11;0.0263
Municipals;2007;3;15;0827903015;818;395;11;5;379;49,63%;188;46,31%;77;18,97%;23;5,67%;32;7,88%;37;9,11%;17;4,19%;;;;;;;;;;;;;;;;;5;0.0132
Municipals;2007;3;16;0827903016;651;310;4;1;305;48,23%;198;63,06%;27;8,60%;8;2,55%;23;7,32%;23;7,32%;20;6,37%;;;;;;;;;;;;;;;;;6;0.0197
Municipals;2007;3;17;0827903017;933;369;10;2;357;40,62%;217;57,26%;35;9,23%;8;2,11%;36;9,50%;40;10,55%;17;4,49%;;;;;;;;;;;;;;;;;4;0.0112
Municipals;2007;3;18;0827903018;824;352;7;0;345;43,57%;203;56,55%;33;9,19%;13;3,62%;40;11,14%;38;10,58%;17;4,74%;;;;;;;;;;;;;;;;;1;0.0029
Municipals;2007;3;19;0827903019;973;450;9;7;434;47,17%;261;56,86%;42;9,15%;22;4,79%;37;8,06%;43;9,37%;21;4,58%;;;;;;;;;;;;;;;;;8;0.0184
Municipals;2007;3;20;0827903020;1155;504;13;7;484;44,76%;238;46,03%;88;17,02%;41;7,93%;43;8,32%;47;9,09%;20;3,87%;;;;;;;;;;;;;;;;;7;0.0145
Municipals;2007;4;1;0827904001;1013;522;21;1;500;53,60%;114;20,99%;203;37,38%;41;7,55%;50;9,21%;51;9,39%;19;3,50%;;;;;;;;;;;;;;;;;22;0.0440
Municipals;2007;4;2;0827904002;1159;607;25;4;578;54,53%;170;26,90%;234;37,03%;58;9,18%;34;5,38%;41;6,49%;8;1,27%;;;;;;;;;;;;;;;;;33;0.0571
Municipals;2007;4;3;0827904003;1224;615;15;2;598;51,47%;208;33,02%;167;26,51%;74;11,75%;59;9,37%;56;8,89%;17;2,70%;;;;;;;;;;;;;;;;;17;0.0284
Municipals;2007;4;4;0827904004;1089;531;22;4;505;50,78%;217;39,24%;115;20,80%;45;8,14%;47;8,50%;52;9,40%;13;2,35%;;;;;;;;;;;;;;;;;16;0.0317
Municipals;2007;4;5;0827904005;1077;463;22;2;439;45,03%;167;34,43%;121;24,95%;51;10,52%;30;6,19%;42;8,66%;19;3,92%;;;;;;;;;;;;;;;;;9;0.0205
Municipals;2007;4;6;0827904006;1356;649;19;4;626;49,26%;329;49,25%;85;12,72%;38;5,69%;54;8,08%;75;11,23%;28;4,19%;;;;;;;;;;;;;;;;;17;0.0272
Municipals;2007;4;7;0827904007;1679;642;16;2;624;39,19%;364;55,32%;73;11,09%;39;5,93%;65;9,88%;47;7,14%;26;3,95%;;;;;;;;;;;;;;;;;10;0.0160
Municipals;2007;4;8;0827904008;675;332;10;2;320;50,67%;168;49,12%;43;12,57%;10;2,92%;46;13,45%;33;9,65%;16;4,68%;;;;;;;;;;;;;;;;;4;0.0125
Municipals;2007;4;9;0827904009;758;297;5;1;291;39,84%;174;57,62%;19;6,29%;6;1,99%;52;17,22%;26;8,61%;12;3,97%;;;;;;;;;;;;;;;;;2;0.0069
Municipals;2007;4;10;0827904010;528;230;3;0;227;44,13%;141;60,52%;15;6,44%;9;3,86%;22;9,44%;27;11,59%;11;4,72%;;;;;;;;;;;;;;;;;2;0.0088
Municipals;2007;4;11;0827904011;561;250;4;2;244;45,28%;154;60,63%;26;10,24%;13;5,12%;15;5,91%;25;9,84%;5;1,97%;;;;;;;;;;;;;;;;;6;0.0246
Municipals;2007;4;12;0827904012;987;468;23;0;445;49,75%;210;42,77%;95;19,35%;39;7,94%;39;7,94%;46;9,37%;9;1,83%;;;;;;;;;;;;;;;;;7;0.0157
Municipals;2007;4;13;0827904013;1222;666;35;4;627;57,36%;228;32,52%;167;23,82%;75;10,70%;59;8,42%;67;9,56%;12;1,71%;;;;;;;;;;;;;;;;;19;0.0303
Municipals;2007;4;14;0827904014;945;506;16;1;489;55,24%;119;22,80%;218;41,76%;57;10,92%;29;5,56%;32;6,13%;14;2,68%;;;;;;;;;;;;;;;;;20;0.0409
Municipals;2007;4;15;0827904015;849;448;18;4;426;54,89%;76;16,31%;223;47,85%;40;8,58%;39;8,37%;27;5,79%;6;1,29%;;;;;;;;;;;;;;;;;15;0.0352
Municipals;2007;4;16;0827904016;963;572;21;0;551;61,58%;112;18,89%;256;43,17%;48;8,09%;65;10,96%;38;6,41%;11;1,85%;;;;;;;;;;;;;;;;;21;0.0381
Municipals;2007;4;17;0827904017;973;549;27;0;522;59,20%;152;26,39%;158;27,43%;86;14,93%;53;9,20%;41;7,12%;13;2,26%;;;;;;;;;;;;;;;;;19;0.0364
Municipals;2007;4;18;0827904018;1492;737;40;7;690;52,08%;257;33,08%;202;26,00%;67;8,62%;54;6,95%;68;8,75%;29;3,73%;;;;;;;;;;;;;;;;;13;0.0188
Municipals;2007;4;19;0827904019;956;427;14;1;412;46,13%;202;45,80%;68;15,42%;25;5,67%;46;10,43%;46;10,43%;20;4,54%;;;;;;;;;;;;;;;;;5;0.0121
Municipals;2007;4;20;0827904020;548;240;4;0;236;44,53%;171;70,08%;6;2,46%;9;3,69%;26;10,66%;15;6,15%;7;2,87%;;;;;;;;;;;;;;;;;2;0.0085
Municipals;2007;4;21;0827904021;823;347;7;2;338;43,01%;198;55,93%;26;7,34%;18;5,08%;43;12,15%;35;9,89%;17;4,80%;;;;;;;;;;;;;;;;;1;0.0030
Municipals;2007;4;22;0827904022;1537;562;14;2;546;37,48%;240;41,67%;62;10,76%;32;5,56%;55;9,55%;98;17,01%;54;9,38%;;;;;;;;;;;;;;;;;5;0.0092
Municipals;2007;4;23;0827904023;1492;616;12;4;600;42,09%;298;47,45%;67;10,67%;25;3,98%;68;10,83%;84;13,38%;44;7,01%;;;;;;;;;;;;;;;;;14;0.0233
Municipals;2007;4;24;0827904024;1243;462;17;0;445;38,54%;213;44,47%;49;10,23%;25;5,22%;74;15,45%;42;8,77%;37;7,72%;;;;;;;;;;;;;;;;;5;0.0112
Municipals;2007;4;25;0827904025;953;447;8;1;438;47,74%;205;45,05%;90;19,78%;28;6,15%;45;9,89%;44;9,67%;25;5,49%;;;;;;;;;;;;;;;;;1;0.0023
Municipals;2007;4;26;0827904026;1010;572;20;1;551;58,61%;151;25,51%;215;36,32%;64;10,81%;43;7,26%;46;7,77%;17;2,87%;;;;;;;;;;;;;;;;;15;0.0272
Municipals;2007;5;1;0827905001;1395;584;31;2;551;44,09%;241;39,19%;110;17,89%;47;7,64%;57;9,27%;62;10,08%;22;3,58%;;;;;;;;;;;;;;;;;12;0.0218
Municipals;2007;5;2;0827905002;1190;469;10;3;456;40,25%;272;56,78%;43;8,98%;8;1,67%;59;12,32%;43;8,98%;24;5,01%;;;;;;;;;;;;;;;;;7;0.0154
Municipals;2007;5;3;0827905003;1443;684;26;2;656;49,20%;268;37,75%;171;24,08%;71;10,00%;47;6,62%;57;8,03%;32;4,51%;;;;;;;;;;;;;;;;;10;0.0152
Municipals;2007;5;4;0827905004;1976;1064;59;2;1003;56,83%;389;34,64%;270;24,04%;106;9,44%;67;5,97%;110;9,80%;31;2,76%;;;;;;;;;;;;;;;;;30;0.0299
Municipals;2007;5;5;0827905005;736;348;8;2;338;48,37%;120;33,71%;81;22,75%;43;12,08%;23;6,46%;50;14,04%;11;3,09%;;;;;;;;;;;;;;;;;10;0.0296
Municipals;2007;5;6;0827905006;1595;829;24;6;799;53,48%;309;36,23%;221;25,91%;94;11,02%;60;7,03%;74;8,68%;29;3,40%;;;;;;;;;;;;;;;;;12;0.0150
Municipals;2007;5;7;0827905007;856;465;20;2;443;56,66%;152;31,34%;129;26,60%;57;11,75%;29;5,98%;40;8,25%;17;3,51%;;;;;;;;;;;;;;;;;19;0.0429
Municipals;2007;5;8;0827905008;1410;636;34;7;595;47,52%;229;34,18%;147;21,94%;72;10,75%;46;6,87%;72;10,75%;14;2,09%;;;;;;;;;;;;;;;;;15;0.0252
Municipals;2007;5;9;0827905009;1351;628;20;0;608;47,96%;283;43,67%;114;17,59%;46;7,10%;64;9,88%;74;11,42%;22;3,40%;;;;;;;;;;;;;;;;;5;0.0082
Municipals;2007;5;10;0827905010;1583;760;6;3;751;48,39%;431;56,27%;72;9,40%;26;3,39%;81;10,57%;90;11,75%;37;4,83%;;;;;;;;;;;;;;;;;14;0.0186
Municipals;2007;5;11;0827905011;1418;696;26;0;670;50,92%;270;37,40%;126;17,45%;50;6,93%;112;15,51%;74;10,25%;30;4,16%;;;;;;;;;;;;;;;;;8;0.0119
Municipals;2007;5;12;0827905012;596;273;5;0;268;46,64%;134;48,20%;40;14,39%;22;7,91%;35;12,59%;29;10,43%;3;1,08%;;;;;;;;;;;;;;;;;5;0.0187
Municipals;2007;5;13;0827905013;1037;380;12;0;368;37,80%;230;58,67%;28;7,14%;19;4,85%;31;7,91%;37;9,44%;18;4,59%;;;;;;;;;;;;;;;;;5;0.0136
Municipals;2007;5;14;0827905014;1590;744;16;1;727;47,80%;364;47,89%;90;11,84%;39;5,13%;87;11,45%;91;11,97%;36;4,74%;;;;;;;;;;;;;;;;;20;0.0275
Municipals;2007;5;15;0827905015;1495;588;12;0;576;40,13%;324;54,00%;56;9,33%;30;5,00%;57;9,50%;74;12,33%;21;3,50%;;;;;;;;;;;;;;;;;14;0.0243
Municipals;2007;5;16;0827905016;1732;765;11;3;751;44,80%;397;51,16%;107;13,79%;27;3,48%;92;11,86%;78;10,05%;37;4,77%;;;;;;;;;;;;;;;;;13;0.0173
Municipals;2007;5;17;0827905017;1314;493;16;5;472;38,74%;229;44,99%;76;14,93%;36;7,07%;39;7,66%;67;13,16%;22;4,32%;;;;;;;;;;;;;;;;;3;0.0064
Municipals;2007;5;18;0827905018;1061;512;7;1;504;48,92%;281;54,14%;67;12,91%;9;1,73%;83;15,99%;38;7,32%;19;3,66%;;;;;;;;;;;;;;;;;7;0.0139
Municipals;2007;5;19;0827905019;2009;845;19;2;824;43,01%;394;45,60%;120;13,89%;58;6,71%;67;7,75%;110;12,73%;59;6,83%;;;;;;;;;;;;;;;;;16;0.0194
Municipals;2007;5;20;0827905020;1139;501;18;2;481;45,57%;186;35,84%;97;18,69%;60;11,56%;50;9,63%;61;11,75%;13;2,50%;;;;;;;;;;;;;;;;;14;0.0291
Municipals;2007;5;21;0827905021;1398;664;18;7;639;48,78%;309;45,31%;103;15,10%;34;4,99%;77;11,29%;78;11,44%;20;2,93%;;;;;;;;;;;;;;;;;18;0.0282
Municipals;2007;5;22;0827905022;556;236;6;0;230;43,53%;121;50,00%;31;12,81%;16;6,61%;29;11,98%;20;8,26%;5;2,07%;;;;;;;;;;;;;;;;;8;0.0348
Municipals;2007;5;23;0827905023;1221;574;45;1;528;50,70%;195;31,50%;166;26,82%;66;10,66%;34;5,49%;52;8,40%;9;1,45%;;;;;;;;;;;;;;;;;6;0.0114
Municipals;2007;5;24;0827905024;1140;443;12;3;428;39,91%;185;40,66%;70;15,38%;41;9,01%;48;10,55%;58;12,75%;19;4,18%;;;;;;;;;;;;;;;;;7;0.0164
Municipals;2007;5;25;0827905025;886;415;24;4;387;49,55%;191;43,51%;52;11,85%;26;5,92%;43;9,79%;43;9,79%;25;5,69%;;;;;;;;;;;;;;;;;7;0.0181
Municipals;2007;5;26;0827905026;1047;560;28;2;530;56,16%;205;34,86%;140;23,81%;53;9,01%;39;6,63%;55;9,35%;28;4,76%;;;;;;;;;;;;;;;;;10;0.0189
Municipals;2007;6;1;0827906001;890;426;6;3;417;48,54%;270;62,50%;38;8,80%;11;2,55%;35;8,10%;35;8,10%;21;4,86%;;;;;;;;;;;;;;;;;7;0.0168
Municipals;2007;6;2;0827906002;1119;489;11;0;478;44,68%;259;51,80%;56;11,20%;23;4,60%;47;9,40%;62;12,40%;21;4,20%;;;;;;;;;;;;;;;;;10;0.0209
Municipals;2007;6;3;0827906003;1492;613;18;2;593;42,29%;304;48,18%;71;11,25%;27;4,28%;86;13,63%;81;12,84%;23;3,65%;;;;;;;;;;;;;;;;;1;0.0017
Municipals;2007;6;4;0827906004;932;416;12;1;403;45,92%;175;40,89%;64;14,95%;25;5,84%;80;18,69%;40;9,35%;8;1,87%;;;;;;;;;;;;;;;;;11;0.0273
Municipals;2007;6;5;0827906005;1055;375;6;2;367;36,11%;196;51,44%;46;12,07%;22;5,77%;41;10,76%;38;9,97%;17;4,46%;;;;;;;;;;;;;;;;;7;0.0191
Municipals;2007;6;6;0827906006;1054;374;7;2;365;36,15%;194;50,92%;42;11,02%;16;4,20%;45;11,81%;43;11,29%;17;4,46%;;;;;;;;;;;;;;;;;8;0.0219
Municipals;2007;6;8;0827906008;1557;680;36;6;638;45,99%;300;41,90%;131;18,30%;56;7,82%;54;7,54%;66;9,22%;23;3,21%;;;;;;;;;;;;;;;;;8;0.0125
Municipals;2007;6;9;0827906009;862;333;6;0;327;39,33%;181;53,39%;34;10,03%;27;7,96%;29;8,55%;37;10,91%;15;4,42%;;;;;;;;;;;;;;;;;4;0.0122
Municipals;2007;6;10;0827906010;1531;723;15;5;703;48,20%;397;53,79%;87;11,79%;29;3,93%;60;8,13%;80;10,84%;45;6,10%;;;;;;;;;;;;;;;;;5;0.0071
Municipals;2007;6;11;0827906011;1387;465;8;0;457;34,10%;250;52,85%;63;13,32%;15;3,17%;50;10,57%;56;11,84%;18;3,81%;;;;;;;;;;;;;;;;;5;0.0109
Municipals;2007;6;12;0827906012;1007;409;2;0;407;40,81%;235;57,18%;49;11,92%;19;4,62%;45;10,95%;41;9,98%;14;3,41%;;;;;;;;;;;;;;;;;4;0.0098
Municipals;2007;6;13;0827906013;698;341;4;2;335;49,43%;183;53,04%;27;7,83%;11;3,19%;39;11,30%;57;16,52%;15;4,35%;;;;;;;;;;;;;;;;;3;0.0090
Municipals;2007;6;14;0827906014;746;298;4;0;294;40,48%;167;55,30%;27;8,94%;13;4,30%;44;14,57%;22;7,28%;16;5,30%;;;;;;;;;;;;;;;;;5;0.0170
Municipals;2007;6;16;0827906016;971;382;8;2;372;40,16%;180;46,15%;55;14,10%;17;4,36%;50;12,82%;54;13,85%;11;2,82%;;;;;;;;;;;;;;;;;5;0.0134
Municipals;2007;6;18;0827906018;514;244;1;3;240;47,67%;151;61,63%;17;6,94%;2;0,82%;24;9,80%;27;11,02%;18;7,35%;;;;;;;;;;;;;;;;;1;0.0042
Municipals;2007;6;19;0827906019;492;222;9;0;213;46,95%;133;57,58%;21;9,09%;11;4,76%;22;9,52%;17;7,36%;8;3,46%;;;;;;;;;;;;;;;;;1;0.0047
Municipals;2007;6;20;0827906020;514;202;3;1;198;39,88%;102;49,76%;27;13,17%;6;2,93%;24;11,71%;27;13,17%;7;3,41%;;;;;;;;;;;;;;;;;5;0.0253
Municipals;2007;6;21;0827906021;796;297;6;0;291;38,07%;166;54,79%;39;12,87%;9;2,97%;32;10,56%;36;11,88%;7;2,31%;;;;;;;;;;;;;;;;;2;0.0069
Municipals;2007;6;23;0827906023;980;370;1;3;366;37,86%;210;56,60%;46;12,40%;10;2,70%;48;12,94%;31;8,36%;17;4,58%;;;;;;;;;;;;;;;;;4;0.0109
Municipals;2007;6;24;0827906024;1795;638;11;4;623;36,16%;334;51,46%;67;10,32%;15;2,31%;66;10,17%;95;14,64%;37;5,70%;;;;;;;;;;;;;;;;;9;0.0144
Municipals;2007;6;25;0827906025;1402;548;10;2;536;39,80%;311;55,73%;53;9,50%;26;4,66%;57;10,22%;59;10,57%;23;4,12%;;;;;;;;;;;;;;;;;7;0.0131
Municipals;2007;6;26;0827906026;1225;489;13;3;473;40,98%;283;56,37%;46;9,16%;19;3,78%;47;9,36%;50;9,96%;20;3,98%;;;;;;;;;;;;;;;;;8;0.0169
Municipals;2007;6;27;0827906027;1006;381;6;1;374;38,47%;235;60,72%;29;7,49%;6;1,55%;47;12,14%;41;10,59%;9;2,33%;;;;;;;;;;;;;;;;;7;0.0187
Municipals;2007;6;28;0827906028;1214;467;11;2;454;39,37%;245;51,26%;52;10,88%;15;3,14%;53;11,09%;60;12,55%;17;3,56%;;;;;;;;;;;;;;;;;12;0.0264
Municipals;2007;6;29;0827906029;766;243;6;3;234;32,51%;133;53,41%;7;2,81%;9;3,61%;33;13,25%;30;12,05%;20;8,03%;;;;;;;;;;;;;;;;;2;0.0085
Municipals;2007;6;30;0827906030;1762;570;14;0;556;33,14%;273;46,75%;64;10,96%;24;4,11%;62;10,62%;79;13,53%;46;7,88%;;;;;;;;;;;;;;;;;8;0.0144
Municipals;2007;6;31;0827906031;774;271;7;2;262;35,92%;142;51,08%;30;10,79%;14;5,04%;17;6,12%;36;12,95%;18;6,47%;;;;;;;;;;;;;;;;;5;0.0191
Municipals;2011;1;1;08279801001;1027;689;18;10;661;0,661148978;94;13,84%;402;59,20%;62;9,13%;37;5,45%;18;2,65%;4;0,59%;7;1,03%;1;0,15%;6;0,88%;;;;;;;;;;;30;0.0454
Municipals;2011;1;2;08279801002;1096;616;20;7;589;0,555656934;75;12,32%;317;52,05%;63;10,34%;45;7,39%;36;5,91%;3;0,49%;11;1,81%;4;0,66%;2;0,33%;;;;;;;;;;;33;0.0560
