Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;VOTS_VALIDS;Participació;CiU;% CiU;PSC;% PSC;ERC;% ERC;PP;% PP;ICV;% ICV;Cs;% Cs;Verds;% Verds;Altres;% Altres
Parlament;2006;5;9;1349;743;14;0;729;743;55.08%;214;28.80%;225;30.28%;86;11.57%;87;11.71%;79;10.63%;23;3.10%;4;0.54%;11;1.48%
Parlament;2006;5;10;1575;809;9;4;796;805;51.37%;120;14.91%;395;49.07%;52;6.46%;103;12.80%;79;9.81%;21;2.61%;10;1.24%;16;1.99%
Parlament;2006;5;11;1437;819;9;7;803;812;56.99%;229;28.20%;238;29.31%;98;12.07%;101;12.44%;93;11.45%;22;2.71%;4;0.49%;18;2.22%
Parlament;2006;5;12;600;290;5;0;285;290;48.33%;68;23.45%;104;35.86%;31;10.69%;34;11.72%;35;12.07%;0;0.00%;2;0.69%;11;3.79%
Parlament;2006;5;13;1043;426;7;1;418;425;40.84%;82;19.29%;192;45.18%;40;9.41%;32;7.53%;39;9.18%;15;3.53%;5;1.18%;13;3.06%
Parlament;2006;5;14;1597;825;14;3;808;822;51.66%;175;21.29%;286;34.79%;86;10.46%;108;13.14%;93;11.31%;25;3.04%;16;1.95%;19;2.31%
Parlament;2006;5;15;1506;630;19;2;609;628;41.83%;111;17.68%;280;44.59%;58;9.24%;59;9.39%;54;8.60%;20;3.18%;6;0.96%;21;3.34%
Parlament;2006;5;16;1746;834;23;3;808;831;47.77%;171;20.58%;345;41.52%;64;7.70%;114;13.72%;82;9.87%;20;2.41%;6;0.72%;6;0.72%
Parlament;2006;5;17;1304;627;5;1;621;626;48.08%;172;27.48%;187;29.87%;94;15.02%;41;6.55%;88;14.06%;25;3.99%;10;1.60%;4;0.64%
Parlament;2006;5;18;1086;567;9;4;554;563;52.21%;135;23.98%;212;37.66%;23;4.09%;107;19.01%;51;9.06%;15;2.66%;5;0.89%;6;1.07%
Parlament;2006;5;19;1744;846;24;2;820;844;48.51%;219;25.95%;286;33.89%;98;11.61%;68;8.06%;93;11.02%;37;4.38%;6;0.71%;13;1.54%
Parlament;2006;5;20;1132;646;11;9;626;637;57.07%;215;33.75%;167;26.22%;102;16.01%;34;5.34%;70;10.99%;22;3.45%;4;0.63%;12;1.88%
Parlament;2006;5;21;1411;778;7;10;761;768;55.14%;197;25.65%;269;35.03%;79;10.29%;76;9.90%;92;11.98%;35;4.56%;6;0.78%;7;0.91%
Parlament;2006;5;22;566;281;3;0;278;281;49.65%;60;21.35%;105;37.37%;28;9.96%;30;10.68%;30;10.68%;12;4.27%;4;1.42%;9;3.20%
Parlament;2006;5;23;1217;773;20;1;752;772;63.52%;328;42.49%;154;19.95%;117;15.16%;51;6.61%;76;9.84%;9;1.17%;10;1.30%;7;0.91%
Parlament;2006;5;24;1128;554;12;0;542;554;49.11%;152;27.44%;155;27.98%;63;11.37%;55;9.93%;84;15.16%;22;3.97%;4;0.72%;7;1.26%
Parlament;2006;5;25;887;452;12;2;438;450;50.96%;125;27.78%;169;37.56%;41;9.11%;41;9.11%;36;8.00%;19;4.22%;4;0.89%;3;0.67%
Parlament;2006;5;26;1062;668;16;1;651;667;62.90%;248;37.18%;156;23.39%;84;12.59%;52;7.80%;65;9.75%;21;3.15%;9;1.35%;16;2.40%
Parlament;2006;6;1;910;473;10;2;461;471;51.98%;85;18.05%;251;53.29%;20;4.25%;44;9.34%;40;8.49%;16;3.40%;2;0.42%;3;0.64%
Parlament;2006;6;2;1103;505;9;1;495;504;45.78%;107;21.23%;227;45.04%;31;6.15%;49;9.72%;57;11.31%;15;2.98%;3;0.60%;6;1.19%
Parlament;2006;6;3;1483;660;11;2;647;658;44.50%;132;20.06%;244;37.08%;62;9.42%;89;13.53%;78;11.85%;26;3.95%;2;0.30%;14;2.13%
Parlament;2006;6;4;944;493;18;1;474;492;52.22%;93;18.90%;174;35.37%;45;9.15%;90;18.29%;51;10.37%;8;1.63%;2;0.41%;11;2.24%
Parlament;2006;6;5;1031;424;13;3;408;421;41.13%;96;22.80%;145;34.44%;41;9.74%;48;11.40%;42;9.98%;15;3.56%;11;2.61%;10;2.38%
Parlament;2006;6;6;1034;385;15;0;370;385;37.23%;71;18.44%;134;34.81%;37;9.61%;43;11.17%;49;12.73%;12;3.12%;6;1.56%;18;4.68%
Parlament;2006;6;8;1559;822;19;3;800;819;52.73%;252;30.77%;241;29.43%;112;13.68%;62;7.57%;72;8.79%;32;3.91%;13;1.59%;16;1.95%
Parlament;2006;6;9;904;393;5;6;382;387;43.47%;79;20.41%;168;43.41%;37;9.56%;42;10.85%;34;8.79%;10;2.58%;4;1.03%;8;2.07%
Parlament;2006;6;10;1513;788;15;2;771;786;52.08%;195;24.81%;308;39.19%;57;7.25%;82;10.43%;77;9.80%;32;4.07%;6;0.76%;14;1.78%
Parlament;2006;6;11;1407;492;7;0;485;492;34.97%;94;19.11%;211;42.89%;29;5.89%;60;12.20%;56;11.38%;23;4.67%;5;1.02%;7;1.42%
Parlament;2006;6;12;1033;486;7;1;478;485;47.05%;100;20.62%;226;46.60%;34;7.01%;58;11.96%;42;8.66%;9;1.86%;3;0.62%;6;1.24%
Parlament;2006;6;13;720;381;12;0;369;381;52.92%;58;15.22%;177;46.46%;22;5.77%;41;10.76%;51;13.39%;11;2.89%;5;1.31%;4;1.05%
Parlament;2006;6;14;748;283;4;1;278;282;37.83%;47;16.67%;145;51.42%;12;4.26%;40;14.18%;20;7.09%;8;2.84%;1;0.35%;5;1.77%
Parlament;2006;6;16;988;407;6;0;401;407;41.19%;91;22.36%;169;41.52%;30;7.37%;53;13.02%;38;9.34%;10;2.46%;3;0.74%;7;1.72%
Parlament;2006;6;18;518;249;2;1;246;248;48.07%;47;18.95%;120;48.39%;11;4.44%;21;8.47%;27;10.89%;12;4.84%;0;0.00%;8;3.23%
Parlament;2006;6;19;505;235;9;0;226;235;46.53%;51;21.70%;107;45.53%;9;3.83%;20;8.51%;23;9.79%;4;1.70%;1;0.43%;11;4.68%
Parlament;2006;6;20;531;221;6;1;214;220;41.62%;35;15.91%;89;40.45%;14;6.36%;29;13.18%;33;15.00%;6;2.73%;4;1.82%;4;1.82%
Parlament;2006;6;21;815;326;3;0;323;326;40.00%;80;24.54%;154;47.24%;21;6.44%;28;8.59%;22;6.75%;6;1.84%;5;1.53%;7;2.15%
Parlament;2006;6;23;988;395;6;0;389;395;39.98%;97;24.56%;185;46.84%;19;4.81%;41;10.38%;25;6.33%;14;3.54%;6;1.52%;2;0.51%
Parlament;2006;6;24;1840;733;19;1;713;732;39.84%;146;19.95%;294;40.16%;52;7.10%;89;12.16%;74;10.11%;21;2.87%;14;1.91%;23;3.14%
Parlament;2006;6;25;1415;645;44;0;601;645;45.58%;107;16.59%;283;43.88%;44;6.82%;61;9.46%;81;12.56%;13;2.02%;1;0.16%;11;1.71%
Parlament;2006;6;26;1189;518;6;0;512;518;43.57%;107;20.66%;235;45.37%;25;4.83%;69;13.32%;53;10.23%;14;2.70%;2;0.39%;7;1.35%
Parlament;2006;6;27;1005;371;4;6;361;365;36.92%;57;15.62%;187;51.23%;23;6.30%;41;11.23%;26;7.12%;17;4.66%;2;0.55%;8;2.19%
Parlament;2006;6;28;1239;498;10;1;487;497;40.19%;90;18.11%;211;42.45%;32;6.44%;62;12.47%;55;11.07%;15;3.02%;9;1.81%;13;2.62%
Parlament;2006;6;29;759;269;6;3;260;266;35.44%;38;14.29%;129;48.50%;23;8.65%;30;11.28%;26;9.77%;5;1.88%;3;1.13%;6;2.26%
Parlament;2006;6;30;1608;625;11;3;611;622;38.87%;172;27.65%;182;29.26%;56;9.00%;57;9.16%;83;13.34%;33;5.31%;7;1.13%;21;3.38%
Parlament;2006;6;31;777;286;9;1;276;285;36.81%;48;16.84%;121;42.46%;27;9.47%;21;7.37%;38;13.33%;8;2.81%;5;1.75%;8;2.81%
