Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CIU;% CIU;CUP;% CUP;ERC;% ERC;ICV;% ICV;PP;% PP;PSC;% PSC;Altres;% Altres
Municipals;2007;1;12;0827901012;1095;492;24;5;463;47,12%;17;3,29%;92;17,83%;12;2,33%;59;11,43%;78;15,12%;34;6,59%;163;31,59%;8;0.0173
Municipals;2007;1;13;0827901013;620;253;6;0;247;41,77%;12;4,63%;26;10,04%;1;0,39%;22;8,49%;36;13,90%;24;9,27%;124;47,88%;2;0.0081
Municipals;2007;1;14;0827901014;1600;741;23;1;717;47,75%;27;3,53%;122;15,97%;17;2,23%;61;7,98%;57;7,46%;90;11,78%;343;44,90%;0;0.0000
Municipals;2007;1;15;0827901015;946;454;17;2;435;49,79%;14;2,97%;79;16,77%;10;2,12%;44;9,34%;53;11,25%;27;5,73%;202;42,89%;6;0.0138
Municipals;2007;1;16;0827901016;1757;855;40;4;811;50,94%;26;2,91%;209;23,35%;19;2,12%;104;11,62%;85;9,50%;71;7,93%;291;32,51%;6;0.0074
Municipals;2007;1;17;0827901017;1670;894;47;7;840;56,35%;8;0,85%;315;33,48%;17;1,81%;82;8,71%;69;7,33%;70;7,44%;268;28,48%;11;0.0131
Municipals;2007;1;18;0827901018;402;225;6;2;217;57,46%;1;0,43%;96;41,56%;9;3,90%;29;12,55%;17;7,36%;11;4,76%;52;22,51%;2;0.0092
Municipals;2007;1;19;0827901019;901;454;14;0;440;51,94%;17;3,63%;90;19,23%;2;0,43%;46;9,83%;53;11,32%;54;11,54%;174;37,18%;4;0.0091
Municipals;2007;1;20;0827901020;841;473;19;1;453;58,50%;14;2,85%;109;22,15%;5;1,02%;48;9,76%;43;8,74%;48;9,76%;180;36,59%;6;0.0132
Municipals;2007;1;21;0827901021;1055;482;20;2;460;47,58%;16;3,19%;124;24,70%;5;1,00%;50;9,96%;57;11,35%;35;6,97%;171;34,06%;2;0.0043
Municipals;2007;1;22;0827901022;1265;582;17;0;565;47,35%;24;4,01%;176;29,38%;17;2,84%;66;11,02%;51;8,51%;62;10,35%;154;25,71%;15;0.0265
Municipals;2007;1;23;0827901023;866;431;19;0;412;51,96%;24;5,33%;116;25,78%;6;1,33%;46;10,22%;32;7,11%;35;7,78%;151;33,56%;2;0.0049
Municipals;2007;2;1;0827902001;1092;512;13;0;499;48,08%;16;3,05%;54;10,29%;5;0,95%;27;5,14%;44;8,38%;73;13,90%;274;52,19%;6;0.0120
Municipals;2007;2;2;0827902002;559;250;6;2;242;45,80%;1;0,39%;29;11,33%;1;0,39%;2;0,78%;26;10,16%;50;19,53%;131;51,17%;2;0.0083
Municipals;2007;2;3;0827902003;565;253;4;2;247;45,49%;10;3,89%;31;12,06%;3;1,17%;6;2,33%;17;6,61%;35;13,62%;142;55,25%;3;0.0121
Municipals;2007;2;4;0827902004;801;376;5;2;369;47,57%;14;3,67%;45;11,81%;2;0,52%;6;1,57%;39;10,24%;42;11,02%;218;57,22%;3;0.0081
Municipals;2007;2;5;0827902005;824;390;7;3;380;48,18%;9;2,27%;64;16,12%;2;0,50%;13;3,27%;45;11,34%;54;13,60%;192;48,36%;1;0.0026
Municipals;2007;2;6;0827902006;671;333;9;3;321;50,97%;8;2,34%;39;11,40%;5;1,46%;18;5,26%;41;11,99%;47;13,74%;163;47,66%;0;0.0000
Municipals;2007;2;7;0827902007;336;140;2;1;137;42,26%;7;4,93%;29;20,42%;2;1,41%;5;3,52%;13;9,15%;23;16,20%;56;39,44%;2;0.0146
Municipals;2007;2;8;0827902008;726;298;8;1;289;42,15%;6;1,96%;36;11,76%;3;0,98%;14;4,58%;31;10,13%;40;13,07%;158;51,63%;1;0.0035
Municipals;2007;2;9;0827902009;621;288;10;3;275;47,99%;9;3,02%;24;8,05%;0;0,00%;11;3,69%;31;10,40%;33;11,07%;167;56,04%;0;0.0000
Municipals;2007;2;10;0827902010;451;212;6;1;205;48,34%;8;3,67%;17;7,80%;0;0,00%;6;2,75%;17;7,80%;23;10,55%;132;60,55%;2;0.0098
Municipals;2007;2;11;0827902011;790;316;2;4;310;40,25%;23;7,23%;36;11,32%;0;0,00%;13;4,09%;47;14,78%;40;12,58%;150;47,17%;1;0.0032
Municipals;2007;2;12;0827902012;712;324;11;3;310;47,05%;13;3,88%;38;11,34%;4;1,19%;11;3,28%;20;5,97%;29;8,66%;194;57,91%;1;0.0032
Municipals;2007;2;14;0827902014;1739;617;21;0;596;36,69%;38;5,96%;62;9,72%;4;0,63%;19;2,98%;63;9,87%;58;9,09%;347;54,39%;5;0.0084
Municipals;2007;2;15;0827902015;652;224;1;1;222;34,51%;8;3,56%;97;43,11%;0;0,00%;4;1,78%;18;8,00%;5;2,22%;87;38,67%;3;0.0135
Municipals;2007;2;16;0827902016;943;345;12;1;332;37,86%;22;6,16%;18;5,04%;3;0,84%;28;7,84%;59;16,53%;21;5,88%;177;49,58%;4;0.0120
Municipals;2007;3;1;0827903001;1315;582;8;2;572;44,87%;24;4,07%;106;17,97%;9;1,53%;53;8,98%;63;10,68%;39;6,61%;274;46,44%;4;0.0070
Municipals;2007;3;2;0827903002;1014;471;26;0;445;49,01%;21;4,23%;91;18,31%;5;1,01%;42;8,45%;49;9,86%;46;9,26%;188;37,83%;3;0.0067
Municipals;2007;3;3;0827903003;1175;438;7;3;428;37,87%;26;5,84%;62;13,93%;2;0,45%;29;6,52%;53;11,91%;38;8,54%;217;48,76%;1;0.0023
Municipals;2007;3;4;0827903004;890;333;15;1;317;39,10%;10;2,87%;34;9,77%;6;1,72%;7;2,01%;39;11,21%;47;13,51%;174;50,00%;0;0.0000
Municipals;2007;3;5;0827903005;1248;568;30;2;536;47,92%;17;2,84%;142;23,75%;5;0,84%;68;11,37%;49;8,19%;36;6,02%;214;35,79%;5;0.0093
Municipals;2007;3;6;0827903006;1246;605;30;1;574;50,96%;15;2,36%;163;25,67%;12;1,89%;68;10,71%;50;7,87%;38;5,98%;226;35,59%;2;0.0035
Municipals;2007;3;7;0827903007;1353;621;27;1;593;47,89%;27;4,17%;161;24,85%;20;3,09%;60;9,26%;77;11,88%;40;6,17%;206;31,79%;2;0.0034
Municipals;2007;3;8;0827903008;1243;542;5;2;535;44,01%;18;3,29%;32;5,85%;1;0,18%;12;2,19%;47;8,59%;55;10,05%;368;67,28%;2;0.0037
Municipals;2007;3;9;0827903009;1505;686;28;3;655;47,44%;34;4,76%;126;17,65%;7;0,98%;56;7,84%;87;12,18%;78;10,92%;261;36,55%;6;0.0092
Municipals;2007;3;10;0827903010;1633;571;1;3;567;35,03%;35;6,12%;34;5,94%;1;0,17%;15;2,62%;88;15,38%;57;9,97%;331;57,87%;6;0.0106
Municipals;2007;3;11;0827903011;1179;330;5;0;325;28,41%;14;4,18%;25;7,46%;0;0,00%;11;3,28%;33;9,85%;40;11,94%;200;59,70%;2;0.0062
Municipals;2007;3;12;0827903012;1647;688;9;7;672;42,32%;57;8,18%;127;18,22%;0;0,00%;17;2,44%;68;9,76%;107;15,35%;295;42,32%;1;0.0015
Municipals;2007;3;13;0827903013;453;195;7;2;186;44,59%;6;2,97%;13;6,44%;1;0,50%;9;4,46%;13;6,44%;18;8,91%;126;62,38%;0;0.0000
Municipals;2007;3;14;0827903014;1166;441;10;12;419;38,68%;11;2,44%;56;12,42%;7;1,55%;25;5,54%;38;8,43%;69;15,30%;209;46,34%;4;0.0095
Municipals;2007;3;15;0827903015;818;395;11;5;379;49,63%;17;4,19%;77;18,97%;1;0,25%;23;5,67%;37;9,11%;32;7,88%;188;46,31%;4;0.0106
Municipals;2007;3;16;0827903016;651;310;4;1;305;48,23%;20;6,37%;27;8,60%;4;1,27%;8;2,55%;23;7,32%;23;7,32%;198;63,06%;2;0.0066
Municipals;2007;3;17;0827903017;933;369;10;2;357;40,62%;17;4,49%;35;9,23%;1;0,26%;8;2,11%;40;10,55%;36;9,50%;217;57,26%;3;0.0084
Municipals;2007;3;18;0827903018;824;352;7;0;345;43,57%;17;4,74%;33;9,19%;0;0,00%;13;3,62%;38;10,58%;40;11,14%;203;56,55%;1;0.0029
Municipals;2007;3;19;0827903019;973;450;9;7;434;47,17%;21;4,58%;42;9,15%;5;1,09%;22;4,79%;43;9,37%;37;8,06%;261;56,86%;3;0.0069
Municipals;2007;3;20;0827903020;1155;504;13;7;484;44,76%;20;3,87%;88;17,02%;4;0,77%;41;7,93%;47;9,09%;43;8,32%;238;46,03%;3;0.0062
Municipals;2007;4;1;0827904001;1013;522;21;1;500;53,60%;19;3,50%;203;37,38%;12;2,21%;41;7,55%;51;9,39%;50;9,21%;114;20,99%;10;0.0200
Municipals;2007;4;2;0827904002;1159;607;25;4;578;54,53%;8;1,27%;234;37,03%;28;4,43%;58;9,18%;41;6,49%;34;5,38%;170;26,90%;5;0.0087
Municipals;2007;4;3;0827904003;1224;615;15;2;598;51,47%;17;2,70%;167;26,51%;15;2,38%;74;11,75%;56;8,89%;59;9,37%;208;33,02%;2;0.0033
Municipals;2007;4;4;0827904004;1089;531;22;4;505;50,78%;13;2,35%;115;20,80%;12;2,17%;45;8,14%;52;9,40%;47;8,50%;217;39,24%;4;0.0079
Municipals;2007;4;5;0827904005;1077;463;22;2;439;45,03%;19;3,92%;121;24,95%;5;1,03%;51;10,52%;42;8,66%;30;6,19%;167;34,43%;4;0.0091
Municipals;2007;4;6;0827904006;1356;649;19;4;626;49,26%;28;4,19%;85;12,72%;16;2,40%;38;5,69%;75;11,23%;54;8,08%;329;49,25%;1;0.0016
Municipals;2007;4;7;0827904007;1679;642;16;2;624;39,19%;26;3,95%;73;11,09%;8;1,22%;39;5,93%;47;7,14%;65;9,88%;364;55,32%;2;0.0032
Municipals;2007;4;8;0827904008;675;332;10;2;320;50,67%;16;4,68%;43;12,57%;1;0,29%;10;2,92%;33;9,65%;46;13,45%;168;49,12%;3;0.0094
Municipals;2007;4;9;0827904009;758;297;5;1;291;39,84%;12;3,97%;19;6,29%;1;0,33%;6;1,99%;26;8,61%;52;17,22%;174;57,62%;1;0.0034
Municipals;2007;4;10;0827904010;528;230;3;0;227;44,13%;11;4,72%;15;6,44%;2;0,86%;9;3,86%;27;11,59%;22;9,44%;141;60,52%;0;0.0000
Municipals;2007;4;11;0827904011;561;250;4;2;244;45,28%;5;1,97%;26;10,24%;6;2,36%;13;5,12%;25;9,84%;15;5,91%;154;60,63%;0;0.0000
Municipals;2007;4;12;0827904012;987;468;23;0;445;49,75%;9;1,83%;95;19,35%;5;1,02%;39;7,94%;46;9,37%;39;7,94%;210;42,77%;2;0.0045
Municipals;2007;4;13;0827904013;1222;666;35;4;627;57,36%;12;1,71%;167;23,82%;16;2,28%;75;10,70%;67;9,56%;59;8,42%;228;32,52%;3;0.0048
Municipals;2007;4;14;0827904014;945;506;16;1;489;55,24%;14;2,68%;218;41,76%;13;2,49%;57;10,92%;32;6,13%;29;5,56%;119;22,80%;7;0.0143
Municipals;2007;4;15;0827904015;849;448;18;4;426;54,89%;6;1,29%;223;47,85%;11;2,36%;40;8,58%;27;5,79%;39;8,37%;76;16,31%;4;0.0094
Municipals;2007;4;16;0827904016;963;572;21;0;551;61,58%;11;1,85%;256;43,17%;17;2,87%;48;8,09%;38;6,41%;65;10,96%;112;18,89%;4;0.0073
Municipals;2007;4;17;0827904017;973;549;27;0;522;59,20%;13;2,26%;158;27,43%;17;2,95%;86;14,93%;41;7,12%;53;9,20%;152;26,39%;2;0.0038
Municipals;2007;4;18;0827904018;1492;737;40;7;690;52,08%;29;3,73%;202;26,00%;13;1,67%;67;8,62%;68;8,75%;54;6,95%;257;33,08%;0;0.0000
Municipals;2007;4;19;0827904019;956;427;14;1;412;46,13%;20;4,54%;68;15,42%;3;0,68%;25;5,67%;46;10,43%;46;10,43%;202;45,80%;2;0.0049
Municipals;2007;4;20;0827904020;548;240;4;0;236;44,53%;7;2,87%;6;2,46%;0;0,00%;9;3,69%;15;6,15%;26;10,66%;171;70,08%;2;0.0085
Municipals;2007;4;21;0827904021;823;347;7;2;338;43,01%;17;4,80%;26;7,34%;1;0,28%;18;5,08%;35;9,89%;43;12,15%;198;55,93%;0;0.0000
Municipals;2007;4;22;0827904022;1537;562;14;2;546;37,48%;54;9,38%;62;10,76%;2;0,35%;32;5,56%;98;17,01%;55;9,55%;240;41,67%;3;0.0055
Municipals;2007;4;23;0827904023;1492;616;12;4;600;42,09%;44;7,01%;67;10,67%;7;1,11%;25;3,98%;84;13,38%;68;10,83%;298;47,45%;7;0.0117
Municipals;2007;4;24;0827904024;1243;462;17;0;445;38,54%;37;7,72%;49;10,23%;3;0,63%;25;5,22%;42;8,77%;74;15,45%;213;44,47%;2;0.0045
Municipals;2007;4;25;0827904025;953;447;8;1;438;47,74%;25;5,49%;90;19,78%;1;0,22%;28;6,15%;44;9,67%;45;9,89%;205;45,05%;0;0.0000
Municipals;2007;4;26;0827904026;1010;572;20;1;551;58,61%;17;2,87%;215;36,32%;11;1,86%;64;10,81%;46;7,77%;43;7,26%;151;25,51%;4;0.0073
Municipals;2007;5;1;0827905001;1395;584;31;2;551;44,09%;22;3,58%;110;17,89%;9;1,46%;47;7,64%;62;10,08%;57;9,27%;241;39,19%;3;0.0054
Municipals;2007;5;2;0827905002;1190;469;10;3;456;40,25%;24;5,01%;43;8,98%;5;1,04%;8;1,67%;43;8,98%;59;12,32%;272;56,78%;2;0.0044
Municipals;2007;5;3;0827905003;1443;684;26;2;656;49,20%;32;4,51%;171;24,08%;5;0,70%;71;10,00%;57;8,03%;47;6,62%;268;37,75%;5;0.0076
Municipals;2007;5;4;0827905004;1976;1064;59;2;1003;56,83%;31;2,76%;270;24,04%;25;2,23%;106;9,44%;110;9,80%;67;5,97%;389;34,64%;5;0.0050
Municipals;2007;5;5;0827905005;736;348;8;2;338;48,37%;11;3,09%;81;22,75%;9;2,53%;43;12,08%;50;14,04%;23;6,46%;120;33,71%;1;0.0030
Municipals;2007;5;6;0827905006;1595;829;24;6;799;53,48%;29;3,40%;221;25,91%;7;0,82%;94;11,02%;74;8,68%;60;7,03%;309;36,23%;5;0.0063
Municipals;2007;5;7;0827905007;856;465;20;2;443;56,66%;17;3,51%;129;26,60%;14;2,89%;57;11,75%;40;8,25%;29;5,98%;152;31,34%;5;0.0113
Municipals;2007;5;8;0827905008;1410;636;34;7;595;47,52%;14;2,09%;147;21,94%;4;0,60%;72;10,75%;72;10,75%;46;6,87%;229;34,18%;11;0.0185
Municipals;2007;5;9;0827905009;1351;628;20;0;608;47,96%;22;3,40%;114;17,59%;4;0,62%;46;7,10%;74;11,42%;64;9,88%;283;43,67%;1;0.0016
Municipals;2007;5;10;0827905010;1583;760;6;3;751;48,39%;37;4,83%;72;9,40%;11;1,44%;26;3,39%;90;11,75%;81;10,57%;431;56,27%;3;0.0040
Municipals;2007;5;11;0827905011;1418;696;26;0;670;50,92%;30;4,16%;126;17,45%;3;0,42%;50;6,93%;74;10,25%;112;15,51%;270;37,40%;5;0.0075
Municipals;2007;5;12;0827905012;596;273;5;0;268;46,64%;3;1,08%;40;14,39%;4;1,44%;22;7,91%;29;10,43%;35;12,59%;134;48,20%;1;0.0037
Municipals;2007;5;13;0827905013;1037;380;12;0;368;37,80%;18;4,59%;28;7,14%;1;0,26%;19;4,85%;37;9,44%;31;7,91%;230;58,67%;4;0.0109
Municipals;2007;5;14;0827905014;1590;744;16;1;727;47,80%;36;4,74%;90;11,84%;11;1,45%;39;5,13%;91;11,97%;87;11,45%;364;47,89%;9;0.0124
Municipals;2007;5;15;0827905015;1495;588;12;0;576;40,13%;21;3,50%;56;9,33%;4;0,67%;30;5,00%;74;12,33%;57;9,50%;324;54,00%;10;0.0174
Municipals;2007;5;16;0827905016;1732;765;11;3;751;44,80%;37;4,77%;107;13,79%;5;0,64%;27;3,48%;78;10,05%;92;11,86%;397;51,16%;8;0.0107
Municipals;2007;5;17;0827905017;1314;493;16;5;472;38,74%;22;4,32%;76;14,93%;2;0,39%;36;7,07%;67;13,16%;39;7,66%;229;44,99%;1;0.0021
Municipals;2007;5;18;0827905018;1061;512;7;1;504;48,92%;19;3,66%;67;12,91%;4;0,77%;9;1,73%;38;7,32%;83;15,99%;281;54,14%;3;0.0060
Municipals;2007;5;19;0827905019;2009;845;19;2;824;43,01%;59;6,83%;120;13,89%;8;0,93%;58;6,71%;110;12,73%;67;7,75%;394;45,60%;8;0.0097
Municipals;2007;5;20;0827905020;1139;501;18;2;481;45,57%;13;2,50%;97;18,69%;6;1,16%;60;11,56%;61;11,75%;50;9,63%;186;35,84%;8;0.0166
Municipals;2007;5;21;0827905021;1398;664;18;7;639;48,78%;20;2,93%;103;15,10%;12;1,76%;34;4,99%;78;11,44%;77;11,29%;309;45,31%;6;0.0094
Municipals;2007;5;22;0827905022;556;236;6;0;230;43,53%;5;2,07%;31;12,81%;5;2,07%;16;6,61%;20;8,26%;29;11,98%;121;50,00%;3;0.0130
Municipals;2007;5;23;0827905023;1221;574;45;1;528;50,70%;9;1,45%;166;26,82%;3;0,48%;66;10,66%;52;8,40%;34;5,49%;195;31,50%;3;0.0057
Municipals;2007;5;24;0827905024;1140;443;12;3;428;39,91%;19;4,18%;70;15,38%;4;0,88%;41;9,01%;58;12,75%;48;10,55%;185;40,66%;3;0.0070
Municipals;2007;5;25;0827905025;886;415;24;4;387;49,55%;25;5,69%;52;11,85%;5;1,14%;26;5,92%;43;9,79%;43;9,79%;191;43,51%;2;0.0052
Municipals;2007;5;26;0827905026;1047;560;28;2;530;56,16%;28;4,76%;140;23,81%;6;1,02%;53;9,01%;55;9,35%;39;6,63%;205;34,86%;4;0.0075
Municipals;2007;6;1;0827906001;890;426;6;3;417;48,54%;21;4,86%;38;8,80%;2;0,46%;11;2,55%;35;8,10%;35;8,10%;270;62,50%;5;0.0120
Municipals;2007;6;2;0827906002;1119;489;11;0;478;44,68%;21;4,20%;56;11,20%;6;1,20%;23;4,60%;62;12,40%;47;9,40%;259;51,80%;4;0.0084
Municipals;2007;6;3;0827906003;1492;613;18;2;593;42,29%;23;3,65%;71;11,25%;1;0,16%;27;4,28%;81;12,84%;86;13,63%;304;48,18%;0;0.0000
Municipals;2007;6;4;0827906004;932;416;12;1;403;45,92%;8;1,87%;64;14,95%;9;2,10%;25;5,84%;40;9,35%;80;18,69%;175;40,89%;2;0.0050
Municipals;2007;6;5;0827906005;1055;375;6;2;367;36,11%;17;4,46%;46;12,07%;5;1,31%;22;5,77%;38;9,97%;41;10,76%;196;51,44%;2;0.0054
Municipals;2007;6;6;0827906006;1054;374;7;2;365;36,15%;17;4,46%;42;11,02%;5;1,31%;16;4,20%;43;11,29%;45;11,81%;194;50,92%;3;0.0082
Municipals;2007;6;8;0827906008;1557;680;36;6;638;45,99%;23;3,21%;131;18,30%;5;0,70%;56;7,82%;66;9,22%;54;7,54%;300;41,90%;3;0.0047
Municipals;2007;6;9;0827906009;862;333;6;0;327;39,33%;15;4,42%;34;10,03%;4;1,18%;27;7,96%;37;10,91%;29;8,55%;181;53,39%;0;0.0000
Municipals;2007;6;10;0827906010;1531;723;15;5;703;48,20%;45;6,10%;87;11,79%;1;0,14%;29;3,93%;80;10,84%;60;8,13%;397;53,79%;4;0.0057
Municipals;2007;6;11;0827906011;1387;465;8;0;457;34,10%;18;3,81%;63;13,32%;3;0,63%;15;3,17%;56;11,84%;50;10,57%;250;52,85%;2;0.0044
Municipals;2007;6;12;0827906012;1007;409;2;0;407;40,81%;14;3,41%;49;11,92%;3;0,73%;19;4,62%;41;9,98%;45;10,95%;235;57,18%;1;0.0025
Municipals;2007;6;13;0827906013;698;341;4;2;335;49,43%;15;4,35%;27;7,83%;2;0,58%;11;3,19%;57;16,52%;39;11,30%;183;53,04%;1;0.0030
Municipals;2007;6;14;0827906014;746;298;4;0;294;40,48%;16;5,30%;27;8,94%;4;1,32%;13;4,30%;22;7,28%;44;14,57%;167;55,30%;1;0.0034
Municipals;2007;6;16;0827906016;971;382;8;2;372;40,16%;11;2,82%;55;14,10%;2;0,51%;17;4,36%;54;13,85%;50;12,82%;180;46,15%;3;0.0081
Municipals;2007;6;18;0827906018;514;244;1;3;240;47,67%;18;7,35%;17;6,94%;1;0,41%;2;0,82%;27;11,02%;24;9,80%;151;61,63%;0;0.0000
Municipals;2007;6;19;0827906019;492;222;9;0;213;46,95%;8;3,46%;21;9,09%;1;0,43%;11;4,76%;17;7,36%;22;9,52%;133;57,58%;0;0.0000
Municipals;2007;6;20;0827906020;514;202;3;1;198;39,88%;7;3,41%;27;13,17%;3;1,46%;6;2,93%;27;13,17%;24;11,71%;102;49,76%;2;0.0101
Municipals;2007;6;21;0827906021;796;297;6;0;291;38,07%;7;2,31%;39;12,87%;1;0,33%;9;2,97%;36;11,88%;32;10,56%;166;54,79%;1;0.0034
Municipals;2007;6;23;0827906023;980;370;1;3;366;37,86%;17;4,58%;46;12,40%;2;0,54%;10;2,70%;31;8,36%;48;12,94%;210;56,60%;2;0.0055
Municipals;2007;6;24;0827906024;1795;638;11;4;623;36,16%;37;5,70%;67;10,32%;1;0,15%;15;2,31%;95;14,64%;66;10,17%;334;51,46%;8;0.0128
Municipals;2007;6;25;0827906025;1402;548;10;2;536;39,80%;23;4,12%;53;9,50%;2;0,36%;26;4,66%;59;10,57%;57;10,22%;311;55,73%;5;0.0093
Municipals;2007;6;26;0827906026;1225;489;13;3;473;40,98%;20;3,98%;46;9,16%;4;0,80%;19;3,78%;50;9,96%;47;9,36%;283;56,37%;4;0.0085
Municipals;2007;6;27;0827906027;1006;381;6;1;374;38,47%;9;2,33%;29;7,49%;3;0,78%;6;1,55%;41;10,59%;47;12,14%;235;60,72%;4;0.0107
Municipals;2007;6;28;0827906028;1214;467;11;2;454;39,37%;17;3,56%;52;10,88%;9;1,88%;15;3,14%;60;12,55%;53;11,09%;245;51,26%;3;0.0066
Municipals;2007;6;29;0827906029;766;243;6;3;234;32,51%;20;8,03%;7;2,81%;0;0,00%;9;3,61%;30;12,05%;33;13,25%;133;53,41%;2;0.0085
Municipals;2007;6;30;0827906030;1762;570;14;0;556;33,14%;46;7,88%;64;10,96%;5;0,86%;24;4,11%;79;13,53%;62;10,62%;273;46,75%;3;0.0054
Municipals;2007;6;31;0827906031;774;271;7;2;262;35,92%;18;6,47%;30;10,79%;5;1,80%;14;5,04%;36;12,95%;17;6,12%;142;51,08%;0;0.0000
